Time,I,Q
11-25-33.848,4205,14083
11-25-33.852,4229,14056
11-25-33.855,4358,13937
11-25-33.977,4460,13851
11-25-34.074,4533,13825
11-25-34.105,4663,13744
11-25-34.164,4942,13561
11-25-34.227,5182,13347
11-25-34.289,5245,13282
11-25-34.352,5288,13235
11-25-34.410,5343,13213
11-25-34.477,5339,13205
11-25-34.535,5326,13194
11-25-34.602,5449,13136
11-25-34.664,5358,13195
11-25-34.727,5449,13150
11-25-34.789,5431,13294
11-25-34.852,5490,13284
11-25-34.867,5435,13180
11-25-34.914,5317,13225
11-25-35.090,5212,13267
11-25-35.105,5181,13293
11-25-35.164,5088,13331
11-25-35.227,5035,13378
11-25-35.293,4893,13378
11-25-35.352,4941,13358
11-25-35.414,5036,13346
11-25-35.480,5142,13303
11-25-35.543,5232,13225
11-25-35.605,5336,13202
11-25-35.668,5339,13202
11-25-35.727,5338,13208
11-25-35.793,5330,13197
11-25-35.855,5294,13205
11-25-35.922,5357,13173
11-25-35.980,5437,13129
11-25-36.074,5585,13080
11-25-36.105,5661,13037
11-25-36.168,5625,13020
11-25-36.230,5044,13276
11-25-36.297,4712,13580
11-25-36.359,4024,13999
11-25-36.426,3807,14155
11-25-36.488,3922,14053
11-25-36.547,4447,13734
11-25-36.613,4951,13492
11-25-36.672,5074,13434
11-25-36.734,5084,13392
11-25-36.801,5288,13224
11-25-36.859,5602,13168
11-25-36.926,5612,13118
11-25-37.078,5698,13106
11-25-37.113,5721,13106
11-25-37.176,5734,13099
11-25-37.223,5722,13098
11-25-37.301,5711,13102
11-25-37.363,5714,13097
11-25-37.426,5706,13101
11-25-37.473,5691,13106
11-25-37.551,5688,13108
11-25-37.691,5687,13113
11-25-37.734,5686,13117
11-25-37.801,5682,13118
11-25-37.863,5683,13117
11-25-37.926,5695,13117
11-25-37.988,5677,13118
11-25-38.078,5663,13121
11-25-38.113,5662,13125
11-25-38.176,5642,13129
11-25-38.234,5628,13132
11-25-38.297,5620,13135
11-25-38.359,5613,13135
11-25-38.426,5602,13127
11-25-38.488,5597,13139
11-25-38.547,5596,13139
11-25-38.613,5596,13137
11-25-38.672,5595,13139
11-25-38.734,5603,13138
11-25-38.797,5605,13137
11-25-38.859,5611,13135
11-25-38.922,5619,13133
11-25-39.063,5616,13133
11-25-39.074,5591,13139
11-25-39.109,5583,13144
11-25-39.172,5575,13144
11-25-39.230,5568,13145
11-25-39.297,5560,13150
11-25-39.355,5556,13153
11-25-39.422,5552,13148
11-25-39.480,5550,13154
11-25-39.543,5562,13151
11-25-39.609,5561,13151
11-25-39.668,5571,13149
11-25-39.730,5572,13147
11-25-39.793,5625,13130
11-25-39.855,5602,13115
11-25-39.922,5593,13156
11-25-39.980,5572,13180
11-25-40.070,5566,13192
11-25-40.105,5608,13189
11-25-40.168,5301,13384
11-25-40.227,5251,13403
11-25-40.293,5344,13308
11-25-40.352,5222,13346
11-25-40.414,5159,13334
11-25-40.480,4894,13377
11-25-40.539,4854,13396
11-25-40.602,4871,13394
11-25-40.664,4826,13413
11-25-40.727,4880,13383
11-25-40.793,4900,13382
11-25-40.852,4870,13374
11-25-40.914,4869,13388
11-25-41.070,4927,13333
11-25-41.105,5089,13280
11-25-41.164,5173,13246
11-25-41.227,5265,13209
11-25-41.289,5311,13182
11-25-41.352,5320,13162
11-25-41.414,5158,13206
11-25-41.480,4998,13355
11-25-41.539,4701,13563
11-25-41.605,4481,13681
11-25-41.668,4743,13459
11-25-41.727,4929,13381
11-25-41.793,5007,13333
11-25-41.852,5140,13293
11-25-41.914,5225,13242
11-25-41.977,5286,13213
11-25-42.070,5279,13209
11-25-42.105,5286,13210
11-25-42.164,5285,13215
11-25-42.223,5281,13217
11-25-42.289,5262,13228
11-25-42.352,5235,13240
11-25-42.410,5221,13249
11-25-42.477,5194,13262
11-25-42.539,5165,13271
11-25-42.602,5142,13287
11-25-42.664,5120,13299
11-25-42.723,5102,13308
11-25-42.785,5095,13317
11-25-42.848,5090,13319
11-25-42.910,5091,13315
11-25-43.066,5096,13315
11-25-43.102,5095,13315
11-25-43.160,5088,13321
11-25-43.223,5081,13323
11-25-43.289,5068,13331
11-25-43.352,5052,13342
11-25-43.414,5038,13350
11-25-43.477,5031,13355
11-25-43.539,5024,13360
11-25-43.602,5022,13364
11-25-43.664,5018,13366
11-25-43.727,5015,13368
11-25-43.793,5019,13365
11-25-43.855,5028,13357
11-25-43.914,5046,13346
11-25-43.977,5080,13335
11-25-44.070,5092,13325
11-25-44.105,5073,13332
11-25-44.164,5051,13342
11-25-44.227,5077,13344
11-25-44.289,5185,13290
11-25-44.352,5243,13223
11-25-44.414,5252,13213
11-25-44.477,5325,13174
11-25-44.539,5336,13176
11-25-44.605,5338,13175
11-25-44.664,5288,13190
11-25-44.727,5280,13217
11-25-44.793,5306,13210
11-25-44.855,5292,13203
11-25-44.914,5297,13200
11-25-46.590,5311,13202
11-25-46.594,5335,13207
11-25-46.605,5280,13254
11-25-46.621,5339,13267
11-25-46.727,5412,13206
11-25-46.742,5492,13119
11-25-46.746,5384,13158
11-25-46.762,4521,13479
11-25-46.777,3358,14470
11-25-46.793,4405,13962
11-25-46.840,4700,13687
11-25-46.902,4941,13526
11-25-47.070,5124,13342
11-25-47.090,5158,13330
11-25-47.168,5160,13325
11-25-47.211,5149,13340
11-25-47.289,5092,13383
11-25-47.352,4977,13484
11-25-47.414,4757,13666
11-25-47.480,4596,13814
11-25-47.527,4410,13861
11-25-47.590,4255,14005
11-25-47.652,4185,14070
11-25-47.715,4179,14080
11-25-47.777,4248,14065
11-25-47.840,4295,14002
11-25-47.902,4419,13920
11-25-47.969,4512,13861
11-25-48.074,4563,13831
11-25-48.094,4558,13847
11-25-48.152,4518,13882
11-25-48.215,4446,13910
11-25-48.281,4366,13964
11-25-48.340,4302,14009
11-25-48.398,4253,14057
11-25-48.465,4228,14073
11-25-48.523,4213,14082
11-25-48.590,4201,14099
11-25-48.648,4192,14108
11-25-48.711,4192,14104
