
mcu:,2924,-10712,-15560,-14906,23706,-6554
0,346,312
mcu:,-9340,-5644,-12540,-442,432,-333
mcu:,-9312,-5608,-12672,0,580,93
mcu:,2924,-10712,-15560,-14906,23706,-6554
mcu:,8488,2536,-13356,5386,-4904,-1542
mcu:,1272,-10360,-17932,7295,-17103,880
mcu:,-11228,-1000,-14188,3051,-1649,134
mcu:,2068,-5688,-16816,-23784,11505,3166
mcu:,8908,-4124,-10172,22155,16123,8435
mcu:,4480,-11240,-13908,-3304,-21950,-1539
mcu:,-10456,-1424,-14708,-8127,-5875,-156
mcu:,-5156,-10296,-32768,-13080,32767,-5137
mcu:,2332,2120,-30916,5946,2937,11716
mcu:,8736,-5448,-12484,3090,-7634,6511
mcu:,-7572,-7524,-18684,-5866,-18487,-3995
mcu:,-1888,-12944,-19936,12962,32767,-5178
mcu:,5900,5332,-1380,23758,20225,19235
mcu:,10308,-8024,-12840,2048,-10808,8826
mcu:,-10624,-2192,-16532,-5178,-12072,4673
mcu:,9672,-24540,-27708,-29372,17221,-2384
mcu:,8032,-320,-6928,23889,9463,8641
mcu:,5896,-10260,-17388,2278,-18823,-2700
mcu:,-12592,-1344,-14392,-5359,-10866,1384
mcu:,-11040,-13808,-19228,-32768,17098,11506
mcu:,8088,-11988,-10808,-13753,2944,-5470
mcu:,2544,-9988,-16392,8764,-17436,2742
mcu:,-11856,-2096,-14644,-4523,-10425,3927
mcu:,-3412,-9256,-13988,-4351,-9265,6202
mcu:,9716,-5432,-7808,-1465,15667,3909
mcu:,6272,-9144,-12744,13970,-21084,2289
mcu:,-10668,-2164,-14468,-1749,-9534,2239
mcu:,-2496,-9076,-10536,-31045,32767,7936
mcu:,968,868,-9668,10059,7385,13645
mcu:,7540,-7104,-14920,1050,-11789,7121
mcu:,-11416,-3108,-15216,-9120,-16552,-932
mcu:,-556,-12432,-19428,12118,32767,-4261
mcu:,9164,-6752,-6632,14258,10819,6515
mcu:,7940,-9884,-13544,12357,-26941,-7460
mcu:,-12784,1516,-13144,-2374,-5739,2230
mcu:,-440,-7984,-17416,-18955,11656,3654
mcu:,10496,-6404,-11856,13029,6446,4129
mcu:,-1276,-12588,-18448,-11701,-28134,-8229
mcu:,-12372,-1692,-13112,6840,12012,-3301
mcu:,2616,-5588,-16124,-19809,13577,4464
mcu:,9392,-560,-9168,-2210,1825,4742
mcu:,-1416,-11496,-18724,-27477,-32768,-146
mcu:,-10120,-1664,-15800,11224,15223,-1745
mcu:,5120,-3468,-14972,-12787,15231,1680
mcu:,11304,-6176,-8472,198,2533,1238
mcu:,-2268,-9640,-17904,-10484,-29274,-6858
mcu:,-12120,-1452,-16696,14249,17557,-2627
mcu:,5292,-2496,-12368,-9090,12348,-60
mcu:,9684,-3460,-7244,-2102,-1531,-2334
mcu:,-4376,-8572,-19024,-13245,-28751,-7924
mcu:,-11884,-824,-15260,9916,13966,-271
mcu:,5464,-2536,-14352,-13852,13272,1244
mcu:,9864,-1872,-7264,-4071,1691,-854
mcu:,-3032,-9804,-17876,-12777,-31229,-10206
mcu:,-13460,88,-12912,7586,12874,-1839
mcu:,4796,-5424,-15468,-15721,14773,6501
mcu:,7996,-4320,-7864,6624,5754,2874
mcu:,804,-9616,-16704,-4755,-32768,-11421
mcu:,-13296,-260,-11544,6118,13664,-4724
mcu:,2164,-5776,-14856,-10479,16855,6958
mcu:,9020,-5276,-8468,20807,1772,7585
mcu:,1884,-10944,-16584,-885,-32768,-8132
mcu:,-13148,336,-13096,-294,145,-99
mcu:,16304,-9292,-32768,24022,-19532,12615
mcu:,8208,340,-8788,356,3210,-39
mcu:,4140,-11244,-17988,22007,-12601,-1909
mcu:,-15804,1184,-16332,5015,-10524,1724
mcu:,3724,-11444,-19728,-24599,14375,2422
mcu:,8036,-1436,-9360,-1104,211,-1190
mcu:,2404,-8688,-14836,25288,-14644,-1954
mcu:,-12096,-980,-14716,3453,-694,1579
mcu:,148,-9816,-16996,-20402,19529,7916
mcu:,10364,-920,-2984,12830,-1607,7806
mcu:,432,-10132,-15348,-1874,-32768,-8180
mcu:,-13472,572,-11568,-271,13329,-4420
mcu:,5108,-7448,-13032,-13734,11802,-2650
mcu:,9076,-3384,-7668,2017,1525,1581
mcu:,-1052,-11084,-17664,-9728,-31883,-6780
mcu:,-12252,-580,-13512,4347,7331,-1061
mcu:,2124,-5600,-16272,-15121,18452,9027
mcu:,7028,-7436,-8768,20779,14274,1519
mcu:,720,-11580,-18444,-1983,-32768,-6453
mcu:,-12456,-624,-13328,6616,5911,-2954
mcu:,5736,-6540,-15700,-6019,20448,7918
mcu:,8808,-1936,-9540,-1070,-4284,495
mcu:,-2096,-8096,-18744,-16940,-31538,-14527
mcu:,-12152,-836,-15568,7001,12533,-1530
mcu:,4468,-2112,-17548,-27383,13992,7187
mcu:,7788,-612,-9348,-75,-2629,1153
mcu:,-2304,-6996,-18148,-28434,-32768,-5945
mcu:,-11416,-2152,-16184,9533,15107,-1661
mcu:,5132,-2820,-14836,-13681,16767,9705
mcu:,9056,-1316,-10136,480,-6041,3338
mcu:,-5992,-6420,-18828,-7695,-22857,-14571
mcu:,-11948,-1412,-14884,10894,12986,1270
mcu:,2684,-2396,-15144,-16268,12733,5921
mcu:,9712,-1216,-9392,-3318,-2605,1066
mcu:,-2772,-7132,-19532,-15798,-29221,-14337
mcu:,-11588,-1948,-16732,11842,15927,-635
mcu:,4124,-368,-14636,-18187,10152,4605
mcu:,8776,-2040,-10800,3257,-3654,2804
mcu:,-5476,-6400,-17968,-12496,-24144,-17527
mcu:,-11664,-3116,-15708,8498,13981,-1622
mcu:,668,3792,-21548,-26382,17702,8480
mcu:,7876,-2500,-11120,1926,-5556,486
mcu:,-6476,-5952,-17932,-9000,-20715,-13884
mcu:,-12348,-2716,-15068,8112,13874,678
mcu:,3596,-2432,-16344,-16243,9922,6267
mcu:,7104,-2700,-10224,3279,-5601,2622
mcu:,-8188,-5196,-19984,-7194,-19557,-4445
mcu:,-12440,-2860,-16368,14059,19295,628
mcu:,4396,1356,-15496,-12943,10383,7995
mcu:,7280,-984,-12976,13379,-9842,-740
mcu:,-9184,-5612,-17804,-10374,-17975,-5984
mcu:,-10860,-3284,-14264,12262,11257,2521
mcu:,1816,-4320,-17180,-20743,7504,4588
mcu:,5484,-1524,-10916,9772,-485,6983
