Time,I,Q
11-41-36.223,6246,12795
11-41-36.289,6227,12828
11-41-36.352,6211,12843
11-41-36.410,6227,12844
11-41-36.473,6259,12820
11-41-36.535,6259,12790
11-41-36.602,6290,12773
11-41-36.664,6338,12722
11-41-36.723,6336,12710
11-41-36.789,6347,12686
11-41-36.848,6356,12668
11-41-36.910,6382,12638
11-41-36.973,6409,12645
11-41-37.086,6431,12632
11-41-37.102,6402,12649
11-41-37.160,6434,12619
11-41-37.234,6368,12665
11-41-37.289,6209,12741
11-41-37.348,6152,12825
11-41-37.410,6294,12785
11-41-37.477,6356,12720
11-41-37.535,6462,12667
11-41-37.602,6480,12679
11-41-37.664,6453,12709
11-41-37.723,6430,12714
11-41-37.789,6418,12733
11-41-37.852,6418,12730
11-41-37.910,6422,12719
11-41-37.914,6428,12717
11-41-38.086,6434,12721
11-41-38.102,6446,12706
11-41-38.164,6451,12703
11-41-38.223,6445,12723
11-41-38.289,6429,12730
11-41-38.352,6378,12782
11-41-38.410,6296,12828
11-41-38.477,6218,12876
11-41-38.539,6198,12901
11-41-38.602,6216,12898
11-41-38.664,6238,12872
11-41-38.723,6280,12846
11-41-38.789,6304,12842
11-41-38.848,6335,12814
11-41-38.910,6349,12812
11-41-38.977,6347,12812
11-41-39.090,6331,12842
11-41-39.105,6335,12829
11-41-39.164,6322,12845
11-41-39.227,6297,12855
11-41-39.289,6274,12861
11-41-39.352,6234,12893
11-41-39.410,6210,12908
11-41-39.477,6191,12927
11-41-39.535,6191,12928
11-41-39.602,6200,12916
11-41-39.664,6227,12905
11-41-39.723,6240,12913
11-41-39.785,6241,12901
11-41-39.848,6243,12904
11-41-39.910,6240,12911
11-41-40.066,6249,12904
11-41-40.102,6264,12892
11-41-40.160,6282,12895
11-41-40.223,6313,12863
11-41-40.289,6325,12820
11-41-40.352,6401,12765
11-41-40.410,6395,12725
11-41-40.477,6403,12689
11-41-40.535,6375,12704
11-41-40.602,6374,12701
11-41-40.664,6377,12704
11-41-40.727,6365,12709
11-41-40.793,6295,12703
11-41-40.852,6278,12719
11-41-40.914,6271,12758
11-41-40.980,6254,12750
11-41-41.070,6265,12769
11-41-41.105,6243,12777
11-41-41.168,6193,12809
11-41-41.227,6167,12827
11-41-41.293,6161,12827
11-41-41.449,6174,12825
11-41-41.453,6182,12821
11-41-41.480,6193,12809
11-41-41.543,6221,12791
11-41-41.605,6246,12765
11-41-41.664,6246,12738
11-41-41.727,6261,12723
11-41-41.793,6252,12723
11-41-41.852,6280,12711
11-41-41.914,6314,12690
11-41-42.070,6358,12670
11-41-42.102,6395,12655
11-41-42.164,6369,12673
11-41-42.223,6289,12710
11-41-42.289,6237,12731
11-41-42.352,5931,12970
11-41-42.410,5861,13094
11-41-42.477,5976,12982
11-41-42.535,6217,12854
11-41-42.602,6323,12813
11-41-42.664,6358,12790
11-41-42.727,6353,12814
11-41-42.789,6346,12804
11-41-42.848,6243,12840
11-41-42.910,6056,12946
11-41-42.977,5805,13127
11-41-43.070,5730,13191
11-41-43.105,5729,13205
11-41-43.164,5761,13179
11-41-43.227,5845,13108
11-41-43.293,5969,13035
11-41-43.352,6030,13026
11-41-43.398,6079,13002
11-41-43.465,6107,12992
11-41-43.527,6121,12981
11-41-43.594,6131,12988
11-41-43.656,6090,13002
11-41-43.715,6071,13014
11-41-43.781,6077,13023
11-41-43.840,6064,13028
11-41-43.902,6068,13013
11-41-45.570,6071,13018
11-41-45.590,6091,13016
11-41-45.594,6029,13057
11-41-45.605,6016,13055
11-41-45.621,6057,13029
11-41-45.711,6048,13036
11-41-45.727,6051,13027
11-41-45.742,6147,13036
11-41-45.762,6362,12684
11-41-45.777,6326,12708
11-41-45.840,6336,12734
11-41-45.902,6302,12750
11-41-46.070,6276,12771
11-41-46.090,6200,12793
11-41-46.152,6172,12815
11-41-46.215,6145,12842
11-41-46.281,6171,12848
11-41-46.340,6183,12841
11-41-46.402,6179,12823
11-41-46.465,6167,12836
11-41-46.527,6155,12818
11-41-46.594,6213,12782
11-41-46.656,6261,12736
11-41-46.719,6317,12686
11-41-46.895,6330,12667
11-41-46.906,6367,12650
11-41-46.973,6341,12663
11-41-47.063,6381,12664
11-41-47.098,6352,12690
11-41-47.160,6267,12719
11-41-47.223,6212,12754
11-41-47.285,6260,12751
11-41-47.344,6328,12716
11-41-47.406,6379,12695
11-41-47.473,6417,12688
11-41-47.535,6430,12696
11-41-47.598,6429,12700
11-41-47.656,6417,12723
11-41-47.719,6410,12727
11-41-47.785,6398,12717
11-41-47.848,6358,12733
11-41-47.910,6283,12777
11-41-48.066,6293,12783
11-41-48.102,6308,12771
11-41-48.160,6333,12763
11-41-48.223,6353,12767
11-41-48.289,6351,12805
11-41-48.348,6354,12785
11-41-48.395,6378,12752
11-41-48.461,6365,12772
11-41-48.520,6332,12798
11-41-48.602,6322,12817
11-41-48.660,6285,12813
11-41-48.723,6274,12838
11-41-48.785,6249,12853
11-41-48.832,6256,12843
11-41-48.895,6258,12836
11-41-48.973,6269,12849
11-41-49.066,6291,12820
11-41-49.086,6284,12839
11-41-49.160,6282,12839
11-41-49.207,6262,12854
11-41-49.273,6246,12864
11-41-49.332,6228,12869
11-41-49.395,6214,12884
11-41-49.457,6189,12899
11-41-49.520,6190,12898
11-41-49.586,6163,12935
11-41-49.648,6145,12953
11-41-49.711,6150,12943
11-41-49.773,6145,12947
11-41-49.832,6144,12944
11-41-49.910,6148,12948
11-41-50.066,6167,12920
11-41-50.086,6154,12939
11-41-50.145,6153,12934
11-41-50.207,6132,12955
11-41-50.273,6130,12945
11-41-50.332,6165,12899
11-41-50.391,6319,12739
11-41-50.457,6353,12718
11-41-50.520,6313,12708
11-41-50.578,6300,12687
11-41-50.656,6297,12722
11-41-50.719,6363,12698
11-41-50.785,6352,12705
11-41-50.844,6320,12718
11-41-50.992,6313,12747
11-41-51.063,6229,12804
11-41-51.098,6207,12816
11-41-51.156,6188,12833
11-41-51.219,6138,12907
11-41-51.281,6108,12895
11-41-51.344,6091,12917
11-41-51.391,6083,12904
11-41-51.457,6092,12886
11-41-51.520,6116,12858
11-41-51.598,6170,12797
11-41-51.656,6187,12769
11-41-51.719,6220,12734
11-41-51.781,6216,12720
11-41-51.844,6269,12688
11-41-51.906,6336,12664
11-41-52.063,6355,12653
11-41-52.098,6419,12630
11-41-52.156,6390,12652
11-41-52.230,6377,12651
11-41-52.281,6400,12656
11-41-52.344,6412,12663
11-41-52.406,6423,12663
11-41-52.469,6441,12664
11-41-52.531,6454,12676
11-41-52.594,6457,12681
11-41-52.656,6455,12700
11-41-52.703,6455,12707
11-41-52.770,6452,12696
11-41-52.832,6442,12683
11-41-52.891,6400,12717
11-41-52.953,6338,12744
11-41-53.063,6227,12853
11-41-53.078,6145,12895
11-41-53.141,6149,12897
11-41-53.203,6237,12832
11-41-53.266,6347,12773
11-41-53.344,6339,12842
11-41-53.406,6334,12840
11-41-53.469,6326,12818
11-41-53.641,6318,12852
11-41-53.656,6330,12807
11-41-53.703,6351,12804
11-41-53.766,6346,12810
11-41-53.840,6333,12804
11-41-53.902,6326,12833
11-41-53.906,6306,12843
11-41-54.059,6311,12832
11-41-54.094,6293,12849
11-41-54.156,6307,12847
11-41-54.199,6288,12856
11-41-54.281,6288,12851
11-41-54.340,6275,12865
11-41-54.402,6280,12870
11-41-54.465,6281,12861
11-41-54.527,6287,12864
11-41-54.594,6265,12885
11-41-54.652,6248,12892
11-41-54.715,6237,12908
11-41-54.777,6225,12918
11-41-54.840,6222,12922
11-41-54.898,6228,12912
11-41-55.070,6227,12920
11-41-55.090,6214,12921
11-41-55.148,6210,12932
11-41-55.211,6209,12917
11-41-55.273,6232,12890
11-41-55.336,6246,12812
11-41-55.398,6267,12793
11-41-55.461,6228,12805
11-41-55.523,6229,12809
11-41-55.586,6182,12811
11-41-55.648,6198,12806
11-41-55.707,6246,12793
11-41-55.773,6264,12786
11-41-55.836,6209,12798
11-41-55.895,6201,12810
