Time,I,Q
11-17-36.305,4740,13511
11-17-36.313,4644,13556
11-17-36.391,4623,13575
11-17-36.504,4635,13573
11-17-36.516,4614,13568
11-17-36.578,4599,13570
11-17-36.641,4557,13608
11-17-36.703,4537,13617
11-17-36.770,4433,13672
11-17-36.828,4349,13712
11-17-36.891,4281,13746
11-17-36.953,4207,13760
11-17-37.016,4199,13791
11-17-37.078,4164,13811
11-17-37.145,4213,13790
11-17-37.203,4191,13793
11-17-37.270,4205,13811
11-17-37.320,4265,13764
11-17-37.336,4296,13751
11-17-37.488,4288,13742
11-17-37.520,4277,13739
11-17-37.586,4272,13750
11-17-37.648,4234,13769
11-17-37.844,4211,13777
11-17-37.895,4327,13721
11-17-37.961,4419,13672
11-17-38.020,4468,13640
11-17-38.078,4520,13595
11-17-38.145,4629,13529
11-17-38.207,4696,13509
11-17-38.270,4697,13514
11-17-38.328,4705,13517
11-17-38.406,4672,13530
11-17-38.512,4604,13560
11-17-38.574,4594,13565
11-17-38.641,4590,13570
11-17-38.703,4628,13565
11-17-38.770,4573,13601
11-17-38.828,4561,13614
11-17-38.891,4592,13598
11-17-38.953,4629,13572
11-17-39.016,4622,13572
11-17-39.078,4620,13577
11-17-39.145,4620,13567
11-17-39.203,4523,13601
11-17-39.266,4473,13640
11-17-39.328,4380,13679
11-17-39.500,4244,13751
11-17-39.516,4264,13731
11-17-39.574,4303,13671
11-17-39.641,4289,13721
11-17-39.703,4235,13723
11-17-39.770,4240,13732
11-17-39.828,4239,13739
11-17-39.891,4251,13722
11-17-39.953,4217,13750
11-17-40.016,4196,13767
11-17-40.078,4170,13785
11-17-40.145,4190,13795
11-17-40.207,4257,13719
11-17-40.270,4363,13691
11-17-40.328,4520,13605
11-17-40.391,4616,13567
11-17-40.500,4656,13557
11-17-40.516,4616,13565
11-17-40.574,4622,13565
11-17-40.641,4579,13591
11-17-40.703,4547,13616
11-17-40.770,4528,13637
11-17-40.832,4536,13635
11-17-40.891,4536,13632
11-17-40.957,4548,13628
11-17-41.020,4556,13625
11-17-41.078,4572,13610
11-17-41.145,4569,13605
11-17-41.207,4577,13589
11-17-41.270,4608,13584
11-17-41.328,4584,13579
11-17-41.500,4424,13665
11-17-41.516,4319,13734
11-17-41.574,4271,13749
11-17-41.641,4286,13734
11-17-41.703,4330,13714
11-17-41.766,4383,13694
11-17-41.828,4344,13691
11-17-41.887,4312,13720
11-17-41.953,4313,13711
11-17-42.012,4307,13707
11-17-42.074,4294,13717
11-17-42.141,4270,13732
11-17-42.199,4252,13746
11-17-42.266,4221,13781
11-17-42.328,4197,13806
11-17-42.387,4174,13813
11-17-42.496,4290,13753
11-17-42.512,4424,13691
11-17-42.574,4605,13565
11-17-42.641,4659,13546
11-17-42.703,4668,13552
11-17-42.766,4658,13568
11-17-42.828,4646,13580
11-17-42.891,4576,13627
11-17-42.953,4539,13656
11-17-43.016,4540,13654
11-17-43.074,4554,13642
11-17-43.141,4572,13629
11-17-43.207,4606,13604
11-17-43.266,4612,13582
11-17-43.328,4625,13572
11-17-43.496,4547,13601
11-17-43.512,4397,13687
11-17-43.574,4267,13755
11-17-43.641,4308,13758
11-17-43.703,4306,13710
11-17-43.770,4305,13715
11-17-43.832,4355,13684
11-17-43.891,4301,13695
11-17-43.957,4283,13693
11-17-44.016,4276,13700
11-17-44.078,4307,13689
11-17-44.145,4306,13686
11-17-44.207,4323,13678
11-17-44.270,4346,13695
11-17-44.332,4448,13665
11-17-44.391,4546,13602
11-17-44.488,4581,13585
11-17-44.555,4647,13554
11-17-44.578,4625,13571
11-17-44.641,4633,13570
11-17-44.703,4674,13565
11-17-44.766,4674,13566
11-17-44.828,4672,13562
11-17-44.891,4660,13561
11-17-44.953,4633,13574
11-17-45.016,4637,13582
11-17-45.078,4644,13585
11-17-45.141,4634,13572
11-17-45.199,4641,13559
11-17-45.266,4656,13550
11-17-45.328,4612,13571
11-17-46.996,4429,13661
11-17-47.012,4355,13671
11-17-47.027,4277,13703
11-17-47.137,4471,13650
11-17-47.152,4686,13524
11-17-47.168,4683,13567
11-17-47.184,4683,13558
11-17-47.199,4675,13542
11-17-47.266,4704,13525
11-17-47.398,4706,13515
11-17-47.496,4583,13599
11-17-47.512,4418,13638
11-17-47.574,4382,13679
11-17-47.637,4376,13678
11-17-47.699,4363,13666
11-17-47.766,4343,13663
