mcu:,0,0,0,0,0,0
mcu:,-5432,10524,-14368,6690,-1201,-21239
mcu:,-8504,10424,-8304,4941,-5049,-4774
mcu:,-8772,2028,-13644,-1281,412,-1105
mcu:,-9252,2372,-14024,-643,281,-629
mcu:,-9472,1800,-13856,-1140,-301,272
mcu:,-9968,2740,-13248,91,1006,-298
mcu:,-9072,1512,-14372,-435,705,-207
mcu:,-9600,2488,-13672,-150,768,-68
mcu:,512,-5388,-19820,7415,24241,-880
mcu:,4320,16940,-5792,1294,-15515,32767
mcu:,1260,12988,-6040,-18109,2671,-25986
mcu:,-13556,9448,-11636,10869,2154,-5601
mcu:,-11400,3864,-13296,716,3990,-1136
mcu:,-9780,4004,-12984,-1100,-1051,703
mcu:,-9856,3920,-12984,-233,580,169
mcu:,-10052,4520,-12572,-836,164,31
mcu:,-9972,3260,-13280,722,3110,-1155
mcu:,576,-5200,-15924,10023,22864,-3272
mcu:,9360,-20,-15856,-5334,3088,-117
mcu:,12912,-132,-11560,4660,5585,6780
mcu:,-1964,1864,-18216,12861,-712,-2208
mcu:,-12760,8980,-12192,262,2387,-3005
mcu:,-10108,4304,-13172,716,1836,117
mcu:,-10152,5448,-12252,-2566,1439,-361
mcu:,-10124,4684,-12380,-35,-16,-164
mcu:,-10412,5416,-11676,-441,776,-273
mcu:,-10276,5556,-11724,-682,141,388
mcu:,-10784,6428,-12888,4654,5207,-2453
mcu:,17548,6380,-18820,-32768,32767,-11713
mcu:,9532,-236,-12296,-3172,8225,23993
mcu:,-4796,11028,-12364,-9257,-10333,-18329
mcu:,-5792,9624,-11876,-18996,4157,-3946
mcu:,-8188,2744,-11408,2416,4563,1389
mcu:,-8044,1804,-14464,-1005,-1337,757
mcu:,-8932,2664,-14124,-323,-402,1063
mcu:,-9628,4172,-12984,-1975,-155,-445
mcu:,-9552,3716,-13356,-534,446,-82
mcu:,-8588,3220,-15340,10166,13945,-3000
mcu:,7352,-668,-15156,-9282,-13190,3254
mcu:,5888,-1512,-7732,-4630,-7313,-4306
mcu:,-2980,14472,-11956,-7452,-1517,-27038
mcu:,-6064,4268,-21192,640,-3651,4233
mcu:,-9236,3816,-12988,2519,1682,-561
mcu:,-9556,4460,-12816,-1308,-659,104
mcu:,-9492,3964,-13308,-1215,-307,122
mcu:,-9884,3960,-13280,-466,1113,-771
mcu:,-8256,2076,-15284,4569,9582,-3440
mcu:,14000,3652,-14236,-13391,2428,-7140
mcu:,5172,-7076,-26524,-10861,11018,680
mcu:,4444,7616,-11520,-32768,-26691,-23190
mcu:,-7588,4320,-23444,808,-14914,7838
mcu:,-9344,2552,-14276,6489,6254,-1064
mcu:,-8040,1600,-14716,-638,-318,144
mcu:,-8544,2244,-14604,-223,2333,-824
mcu:,-8168,1832,-14828,-1293,-623,156
mcu:,-8904,2720,-14088,-709,71,24
mcu:,-8912,2996,-14000,-427,572,48
mcu:,-6356,3000,-18788,10782,21273,-6088
mcu:,7248,852,-15076,-16888,-7742,10402
mcu:,6124,-2100,-9596,1863,1812,-2291
mcu:,-2860,976,-19152,1733,-12577,-15432
mcu:,-10020,6632,-11172,-6102,3123,-2908
mcu:,-8236,2180,-14432,800,1212,198
mcu:,-10052,4664,-12644,-2173,-503,-283
mcu:,-9844,4520,-12464,-551,-23,346
mcu:,-9996,4768,-12368,980,627,-92
mcu:,-9684,4720,-13096,937,1304,536
mcu:,6828,-9500,-15848,16773,32767,-6957
mcu:,6588,5228,-2924,13649,3401,54
mcu:,11368,-5224,-12464,-16874,-13158,-1331
mcu:,-9852,6808,-14620,31906,11108,-6702
mcu:,-9872,5108,-13196,5879,4360,-2461
mcu:,-8732,2460,-14424,-1330,-353,392
mcu:,-9860,3228,-13336,-1546,-352,-117
mcu:,-9944,3476,-12944,-336,466,-231
mcu:,-10124,3680,-12936,-526,327,41
mcu:,-8712,2736,-15900,5149,8053,-2005
mcu:,10944,-6516,-18288,-21650,32767,1234
mcu:,18668,-9492,-15464,11928,295,32767
mcu:,7136,876,-12928,-14721,-32768,-17643
mcu:,-9308,2016,-21504,-32768,-25314,4079
mcu:,-9080,2740,-13644,1949,1543,197
mcu:,-10060,5384,-12144,-1063,-357,489
mcu:,-9956,3228,-12928,203,862,-477
mcu:,-9696,3892,-12864,125,522,169
mcu:,-10104,3832,-12376,-1584,-781,603
mcu:,-10124,4152,-12612,-198,987,-331
mcu:,-3200,-1484,-21320,13802,27068,-5623
mcu:,13044,-1292,-12556,2149,9178,32767
mcu:,7064,-736,-13320,-8279,-13405,-6347
mcu:,-6312,4964,-22476,26795,-10643,3923
mcu:,-9848,2556,-12888,2205,6345,-1837
mcu:,-10744,4808,-11864,435,722,-194
mcu:,-9828,5228,-12572,304,1095,-133
mcu:,-10180,3960,-12360,-171,471,-38
mcu:,-10180,4248,-12428,-234,671,-222
mcu:,-9764,4796,-12528,2408,2016,-685
mcu:,6720,-7300,-18948,14984,32767,-9361
mcu:,8716,-8620,-16272,-6484,16612,-18913
mcu:,5788,-1416,-15604,-20310,-14262,-3021
mcu:,-7312,1840,-19700,-15233,-15604,-6456
mcu:,-9628,5024,-12448,2850,3509,-136
mcu:,-11200,5880,-12200,24,822,-1884
mcu:,-9968,4704,-12368,-174,238,53
mcu:,-9968,4040,-12804,466,617,-33
mcu:,-10108,4116,-12720,-1029,103,-37
mcu:,-10980,7532,-11688,7215,1556,54
mcu:,8252,-3860,-12344,-15231,5593,-8257
mcu:,3868,-1472,-14268,-2163,1676,-4224
mcu:,1136,5024,-14100,-9740,-17372,-10886
mcu:,-8756,6720,-16276,7487,-9581,141
mcu:,-8740,1248,-13596,812,0,1033
mcu:,-9920,4952,-12484,1221,909,-406
mcu:,-9864,4020,-12844,176,691,-275
mcu:,-9796,3808,-13016,-1688,-354,309
mcu:,-9516,4032,-12652,809,1877,-530
mcu:,1076,-1064,-19396,10259,21658,-862
mcu:,11528,384,-13640,-25600,-2034,14470
mcu:,7952,-2444,-9928,4102,-7147,-2885
mcu:,-284,-1340,-18756,-23599,-31586,-13649
mcu:,-9180,6940,-11884,-1668,-1363,542
mcu:,-10080,6588,-11832,240,1031,-278
mcu:,-10180,4916,-12192,-691,596,4
mcu:,-10048,5060,-12460,-212,733,-218
mcu:,-10224,4800,-12272,-289,436,-302
mcu:,-9996,5088,-12080,-210,546,48
mcu:,-11524,7752,-13572,13211,5919,-1800
mcu:,11464,-3152,-12436,-17164,2949,-6236
mcu:,6420,1816,-9008,4147,-2653,-1761
mcu:,9412,-11068,-20408,-139,-25925,-2153
mcu:,-11340,5520,-12596,-22435,2592,-4017
mcu:,-10156,4568,-12076,-3913,-1470,931
mcu:,-10108,5624,-12000,-1442,-394,581
mcu:,-10300,5216,-11708,1,387,25
mcu:,-10228,5252,-11784,-385,272,98
mcu:,-10364,4456,-12244,-1450,819,-636
mcu:,-8144,2976,-19764,25694,21491,-3471
mcu:,11468,2240,-10952,-17809,-7785,15107
mcu:,9376,-1996,-7856,11620,-4063,6000
mcu:,-2800,8888,-16180,8620,5332,-18859
mcu:,-10448,5856,-12112,744,-1892,1214
mcu:,-10416,5488,-11664,-1381,452,-379
mcu:,-10132,4880,-12012,239,521,228
mcu:,-10316,5192,-11936,-257,615,-42
mcu:,-10284,4892,-12280,-583,694,-213
mcu:,-10264,5240,-11752,382,614,-419
mcu:,1264,-3400,-18744,15648,29872,-2181
mcu:,7660,1440,-13172,-25305,-12246,26158
