-8316,8086
086
mcu:,-5796,28384,-13068,4376,-8316,8086
mcu:,-5796,28384,-13068,4376,-8316,8086
mcu:,-5796,28384,-13068,4376,-8316,8086
mcu:,10924,13400,-5960,5444,-13168,4818
mcu:,-1920,5728,-1996,1026,-24734,20978
mcu:,-10820,30324,-16880,-9334,4114,9572
mcu:,-2208,28128,-16164,9608,-5368,10990
mcu:,-2136,28944,-15960,7836,-6482,9868
mcu:,-2160,28400,-16044,6450,-7074,9538
mcu:,-2304,28564,-16016,6474,-7008,9900
mcu:,-3080,29512,-14884,6414,-7020,9720
mcu:,3744,23124,-25768,26188,25068,24362
mcu:,10084,6372,-9148,8110,-2676,11344
mcu:,10392,9928,-9460,5538,-13770,14418
mcu:,1444,23144,-21180,-16416,-20108,-11264
mcu:,-4452,30636,-13620,4678,-6346,11400
mcu:,-2856,28824,-15468,7464,-5354,9758
mcu:,-2884,29120,-15112,6468,-7474,9522
mcu:,-3652,29916,-14236,5422,-7536,9036
mcu:,-3576,30260,-13888,6566,-7014,9726
mcu:,6108,24040,-22964,25492,5806,16518
mcu:,16840,18228,-13092,6894,972,15438
mcu:,13276,12992,-10188,3494,-4796,11718
mcu:,18624,18848,-27020,-32768,-7020,1788
mcu:,-5316,30568,-11744,-1532,-7458,10934
mcu:,-2316,28768,-15068,5600,-5414,9898
mcu:,-2864,29824,-15096,7660,-6476,9944
mcu:,-1964,28712,-16284,7714,-6568,10070
mcu:,-2260,28872,-16028,5384,-7474,8976
mcu:,-2704,29360,-15216,7052,-6052,9610
mcu:,-2476,29808,-15312,6650,-7500,9702
mcu:,6376,20208,-25852,22260,22020,25820
mcu:,12448,16436,-12024,9176,-3950,7984
mcu:,12848,9024,-14512,1150,-14634,13500
mcu:,-580,29272,-20604,-5274,-24486,4836
mcu:,-3672,28408,-14628,4418,-5698,9102
mcu:,-3900,30500,-13056,6556,-6686,9386
mcu:,-2816,28748,-15572,7182,-6088,10166
mcu:,-3696,29476,-14184,6626,-6466,9386
mcu:,-3648,29700,-14352,5382,-7458,8900
mcu:,5072,23008,-19088,17606,17466,24900
mcu:,13132,17732,-5464,7286,-6518,6060
mcu:,10692,12612,-12248,5216,-12868,13944
mcu:,2148,25056,-22296,-24636,-20268,-18536
mcu:,-3724,30068,-15028,14890,-3974,14962
mcu:,-1248,27716,-17372,6478,-7098,9534
mcu:,-1188,27568,-17064,7146,-7150,10016
mcu:,-1944,28100,-16556,6288,-7778,9448
mcu:,-2684,28276,-15712,6282,-7434,9236
mcu:,-3000,28584,-15616,6468,-7268,9374
mcu:,3100,23768,-23760,26548,17844,12042
mcu:,12492,17744,-10892,20672,-10466,29124
mcu:,10856,15424,-12056,8798,-6578,17076
mcu:,2700,24384,-21580,-22484,-21126,-12066
mcu:,-3448,29020,-14516,13300,-824,12350
mcu:,-3060,28244,-15316,5198,-7552,8896
mcu:,-4108,28956,-14360,6632,-6908,9278
mcu:,-3808,28800,-14532,5742,-7252,9318
mcu:,-3712,30888,-14380,10396,-4244,12396
mcu:,7668,18028,-14632,6046,17596,32767
mcu:,13968,16560,-8132,4814,-1822,10252
mcu:,7956,11292,-15604,4720,-21094,13520
mcu:,-2920,28992,-14876,-6362,-9058,4590
mcu:,-2772,28680,-14952,6922,-5906,9124
mcu:,-3980,29532,-14144,7052,-5846,9740
mcu:,-3808,29584,-14056,5822,-7950,9296
mcu:,-3800,29428,-14116,5948,-6630,9442
mcu:,-3756,29264,-14368,7198,-5912,9782
mcu:,-3808,29540,-13824,6844,-7140,9602
mcu:,-4096,29660,-13988,6224,-6488,10024
mcu:,1456,26484,-22120,21014,14922,10838
mcu:,13240,17876,-13916,5104,1088,4930
mcu:,13808,15192,-10260,6484,-8922,14944
mcu:,-4152,32767,-8856,-7944,-32768,-17052
mcu:,-3908,31512,-12756,10436,-1996,12398
mcu:,-1440,27536,-16736,6790,-7040,9550
mcu:,-2484,28556,-15680,6356,-7924,9516
