Time,I,Q
11-32-45.242,5263,13425
11-32-45.258,5208,13425
11-32-45.344,5366,13372
11-32-45.406,5621,13196
11-32-45.473,5776,13102
11-32-45.531,5799,13097
11-32-45.637,5822,13121
11-32-45.656,5806,13132
11-32-45.719,5791,13215
11-32-45.785,5759,13254
11-32-45.848,5738,13268
11-32-45.906,5746,13306
11-32-45.973,5693,13355
11-32-46.031,5657,13319
11-32-46.098,5636,13311
11-32-46.160,5570,13293
11-32-46.219,5555,13255
11-32-46.266,5537,13252
11-32-46.355,5532,13268
11-32-46.422,5582,13215
11-32-46.480,5588,13221
11-32-46.637,5598,13234
11-32-46.668,5586,13237
11-32-46.727,5526,13243
11-32-46.793,5519,13241
11-32-46.855,5522,13245
11-32-46.914,5486,13271
11-32-46.980,5519,13254
11-32-47.043,5507,13261
11-32-47.109,5475,13285
11-32-47.168,5441,13297
11-32-47.230,5293,13349
11-32-47.293,4675,13755
11-32-47.355,4081,14080
11-32-47.414,3882,14220
11-32-47.480,3875,14216
11-32-47.539,3977,14112
11-32-47.664,4466,13808
11-32-47.727,4713,13690
11-32-47.793,4943,13532
11-32-47.855,5228,13387
11-32-47.914,5210,13387
11-32-47.977,5286,13354
11-32-48.039,5342,13333
11-32-48.105,5368,13321
11-32-48.168,5385,13315
11-32-48.227,5385,13316
11-32-48.289,5375,13323
11-32-48.414,5386,13322
11-32-48.480,5352,13343
11-32-48.633,5362,13347
11-32-48.664,5378,13339
11-32-48.727,5405,13326
11-32-48.793,5424,13315
11-32-48.852,5415,13318
11-32-48.914,5420,13320
11-32-48.977,5417,13321
11-32-49.039,5408,13328
11-32-49.105,5416,13323
11-32-49.164,5415,13332
11-32-49.227,5426,13327
11-32-49.289,5432,13318
11-32-49.352,5455,13308
11-32-49.414,5462,13310
11-32-49.477,5434,13322
11-32-49.539,5430,13323
11-32-49.633,5425,13326
11-32-49.809,5410,13330
11-32-49.852,5384,13347
11-32-49.914,5375,13348
11-32-49.980,5376,13353
11-32-50.039,5379,13353
11-32-50.105,5375,13352
11-32-50.168,5364,13360
11-32-50.230,5370,13360
11-32-50.293,5374,13356
11-32-50.355,5375,13356
11-32-50.414,5369,13362
11-32-50.480,5378,13358
11-32-50.668,5395,13347
11-32-50.727,5424,13321
11-32-50.793,5439,13310
11-32-50.855,5534,13240
11-32-50.914,5676,13160
11-32-50.977,5736,13154
11-32-51.039,5740,13167
11-32-51.180,5742,13183
11-32-51.227,5725,13216
11-32-51.289,5763,13201
11-32-51.352,5721,13228
11-32-51.410,5774,13224
11-32-51.477,5708,13247
11-32-51.535,5706,13198
11-32-51.660,5618,13248
11-32-51.723,5658,13152
11-32-51.789,5705,13168
11-32-51.848,5702,13169
11-32-51.910,5698,13152
11-32-51.977,5658,13183
11-32-52.039,5680,13188
11-32-52.102,5722,13144
11-32-52.160,5692,13219
11-32-52.223,5724,13163
11-32-52.285,5743,13131
11-32-52.348,5790,13074
11-32-52.535,5897,13011
11-32-52.629,5837,13056
11-32-52.660,5771,13089
11-32-52.719,5726,13088
11-32-52.785,5615,13113
11-32-52.848,5479,13260
11-32-52.906,5137,13482
11-32-52.969,4670,13671
11-32-53.031,4515,13743
11-32-53.098,4584,13695
11-32-53.156,4794,13638
11-32-53.219,5073,13481
11-32-53.281,5255,13371
11-32-53.344,5410,13292
11-32-53.406,5521,13231
11-32-53.473,5566,13211
11-32-53.535,5582,13193
11-32-53.641,5621,13170
11-32-53.656,5657,13164
11-32-53.719,5650,13167
11-32-53.902,5662,13155
11-32-53.969,5603,13194
11-32-54.031,5592,13202
11-32-54.098,5585,13205
11-32-54.160,5565,13212
11-32-54.219,5564,13214
11-32-54.285,5554,13219
11-32-54.348,5558,13218
11-32-54.406,5562,13211
11-32-54.473,5556,13223
11-32-54.629,5537,13231
11-32-54.660,5532,13234
11-32-54.723,5539,13233
11-32-54.785,5544,13230
11-32-54.848,5522,13231
11-32-54.906,5603,13209
11-32-54.973,5719,13124
11-32-55.031,5802,13119
11-32-55.098,5813,13119
11-32-55.152,5822,13123
11-32-55.223,5800,13134
11-32-55.285,5749,13178
11-32-55.348,5716,13227
11-32-55.406,5703,13228
