Time,I,Q
11-50-2.434,5793,13222
11-50-2.445,5695,13261
11-50-2.574,5677,13285
11-50-2.602,5615,13317
11-50-2.660,5603,13319
11-50-2.719,5677,13302
11-50-2.785,5725,13278
11-50-2.848,5573,13313
11-50-2.906,5312,13406
11-50-2.973,5379,13330
11-50-3.035,5397,13234
11-50-3.098,5460,13110
11-50-3.160,5639,13029
11-50-3.223,5798,12974
11-50-3.285,5803,12881
11-50-3.348,6028,12921
11-50-3.410,5981,12883
11-50-3.414,6276,12690
11-50-3.586,6474,12567
11-50-3.602,6599,12474
11-50-3.664,6380,12657
11-50-3.719,6358,12716
11-50-3.785,6301,12765
11-50-3.848,6214,12755
11-50-3.910,6223,12735
11-50-3.973,6245,12748
11-50-4.035,6259,12741
11-50-4.098,6400,12656
11-50-4.160,6519,12630
11-50-4.223,6612,12543
11-50-4.289,6644,12519
11-50-4.348,6685,12486
11-50-4.410,6706,12422
11-50-4.473,6526,12496
11-50-4.586,6474,12538
11-50-4.602,6399,12568
11-50-4.660,6358,12581
11-50-4.723,6354,12595
11-50-4.789,6485,12448
11-50-4.848,6447,12469
11-50-4.910,6464,12543
11-50-4.977,6594,12441
11-50-5.035,6641,12423
11-50-5.098,6669,12417
11-50-5.160,6655,12430
11-50-5.223,6653,12432
11-50-5.289,6654,12427
11-50-5.348,6659,12427
11-50-5.410,6631,12443
11-50-5.586,6617,12454
11-50-5.598,6593,12464
11-50-5.660,6592,12468
11-50-5.719,6581,12470
11-50-5.785,6578,12476
11-50-5.848,6594,12464
11-50-5.910,6594,12459
11-50-5.973,6615,12438
11-50-6.035,6636,12432
11-50-6.102,6662,12418
11-50-6.160,6674,12416
11-50-6.223,6666,12424
11-50-6.285,6663,12426
11-50-6.348,6666,12423
11-50-6.410,6660,12423
11-50-6.473,6655,12426
11-50-6.586,6654,12429
11-50-6.602,6649,12427
11-50-6.660,6649,12429
11-50-6.723,6650,12427
11-50-6.785,6657,12412
11-50-6.848,6651,12428
11-50-6.910,6640,12432
11-50-6.973,6642,12433
11-50-7.035,6642,12432
