mcu:,-9788,5380,-14468,15857,8860,-25270
mcu:,-12588,7408,-12492,-6360,2162,-5423
mcu:,-9752,60,-13636,2566,2732,-799
mcu:,-9964,936,-13168,48,263,-83
mcu:,-10256,1084,-13316,-222,589,-534
mcu:,-9860,316,-13332,-495,151,265
mcu:,-10252,752,-12864,-467,286,-208
mcu:,-10280,772,-13224,28,864,-75
mcu:,-4036,-5596,-18056,9695,19699,-2842
mcu:,5492,988,-13632,-2885,-2364,14684
mcu:,4744,628,-8880,1133,-2481,-6743
mcu:,-13988,10160,-5384,23218,22934,-16779
mcu:,-12368,4644,-6940,1289,1868,-684
mcu:,-9852,-564,-13560,160,2122,-1160
mcu:,-10340,-104,-13132,-2024,-1117,297
mcu:,-10660,436,-13040,-450,606,-69
mcu:,-6288,-3756,-15240,5024,16023,-8356
mcu:,6764,-3196,-17380,8641,6891,-568
mcu:,16524,-6240,-12676,8581,10256,2273
mcu:,7740,-14872,-24612,11000,3903,7410
mcu:,-7088,-2312,-18464,-21432,-22744,-24440
mcu:,-11720,3980,-10404,9555,449,2116
mcu:,-11128,996,-12096,-3392,-1751,440
mcu:,-11756,3072,-11216,1210,949,-1007
mcu:,-11268,1800,-11944,-377,510,40
mcu:,-11420,2208,-11496,-464,304,290
mcu:,-11460,2476,-11436,-211,202,167
mcu:,-11628,2564,-13316,5922,6534,-3151
mcu:,2860,5232,-12696,-12813,6845,13630
mcu:,8588,-4636,-14388,2070,15966,22627
mcu:,5868,-5152,-16060,1860,-9171,1775
mcu:,-11412,568,-15308,-32768,-16804,-17872
mcu:,-12304,3160,-9700,3129,3408,-2722
mcu:,-11040,1084,-12040,-1206,-1051,1031
mcu:,-11464,1588,-11688,486,1359,-462
mcu:,-11304,980,-12268,-441,497,-26
mcu:,-10308,452,-13104,2050,3058,-625
mcu:,4072,-8580,-16144,-9925,29476,-4249
mcu:,7060,256,-15192,-3672,3224,2130
mcu:,6344,-1640,-13176,2114,-2544,-501
mcu:,-5324,288,-16880,4308,-3982,-5839
mcu:,-11872,1364,-12520,9639,1349,10764
mcu:,-11088,2648,-11696,3099,743,720
mcu:,-11100,1184,-12132,1681,997,-618
mcu:,-10964,1068,-12516,-304,156,-90
mcu:,-10984,788,-12508,-657,578,27
mcu:,-11456,1552,-11864,-507,-196,570
mcu:,-11040,1016,-14372,6773,6616,-2484
mcu:,3924,-5148,-17112,-11094,6509,-905
mcu:,4584,-252,-12196,975,2830,-1910
mcu:,5544,-1904,-17872,8258,-5213,-5729
mcu:,-14308,4832,-9064,-8332,-10864,4214
mcu:,-11532,996,-11604,7115,3872,-123
mcu:,-11460,884,-11876,-2582,-1543,284
mcu:,-11424,1224,-11856,-684,401,-76
mcu:,-11552,1744,-11288,153,819,-631
mcu:,-11724,1672,-11288,-1576,-670,814
mcu:,-12048,2556,-15724,11620,15633,-5482
mcu:,5068,-1468,-14872,-6655,3269,-2146
mcu:,7024,-212,-12292,2150,-769,-3559
mcu:,2384,-2296,-16776,-19358,-25923,-3229
mcu:,-11612,2840,-13448,11906,-4734,8430
mcu:,-11312,1492,-11540,313,351,-283
mcu:,-11912,1500,-11204,-458,908,-1386
mcu:,-11436,500,-11640,-815,-396,723
mcu:,-12204,1708,-11160,-1332,435,306
mcu:,-11728,964,-11444,1030,1099,-722
mcu:,-11504,-332,-16032,8273,14418,-4949
mcu:,4116,-2324,-16444,-7966,8254,2839
mcu:,9036,2572,-4932,-325,10279,15948
mcu:,6724,-8572,-16536,3777,-18964,-3441
mcu:,-11684,1200,-16556,-1704,-4840,2554
mcu:,-11748,1916,-11092,50,-472,1697
mcu:,-11808,2120,-11064,2403,1142,-751
mcu:,-11788,1368,-11332,-1451,-50,267
mcu:,-12024,2192,-10732,-485,398,165
mcu:,-11928,2568,-10788,-369,125,774
mcu:,-4748,-5740,-18248,13980,27019,-2367
mcu:,3552,-2688,-15308,-10667,2916,-2022
mcu:,5784,-960,-13076,6538,-5800,288
mcu:,-4188,-4580,-17028,13793,-6343,10792
mcu:,-12008,3516,-11856,-9757,-634,-2411
mcu:,-11328,1084,-11808,-1537,-449,-236
mcu:,-11604,1956,-11376,-210,469,-254
mcu:,-11992,2056,-11188,-1664,-201,535
mcu:,-11904,2768,-10872,-387,121,122
mcu:,-12028,2668,-11284,-351,631,-111
mcu:,-5428,-4288,-18728,16718,30853,-7487
mcu:,4216,-428,-9756,-9101,135,-313
mcu:,7112,-1692,-13860,3745,-4200,469
mcu:,-6612,-4404,-17888,22253,3356,2507
mcu:,-13064,4704,-10420,-7767,4413,-5685
mcu:,-11344,-72,-12192,-2207,1239,-2544
mcu:,-11448,1104,-11500,-1124,338,-29
mcu:,-11740,2012,-10896,-1902,7,802
mcu:,-10324,-408,-15832,9888,12478,-2278
mcu:,6736,-8008,-15832,-11128,1753,-855
mcu:,8324,-1944,-11472,-2580,3577,-646
mcu:,7460,-948,-13440,7443,-7462,-1971
mcu:,-5576,-4364,-16396,6168,-12853,15343
mcu:,-12108,3024,-10336,4532,1218,863
mcu:,-11400,2536,-11664,-2007,88,343
mcu:,-11544,2296,-11720,1200,1343,-973
mcu:,-11796,2192,-11596,-1520,-294,302
mcu:,-11552,2384,-11316,-256,659,-89
mcu:,-11548,2428,-11268,-740,-120,692
mcu:,-11228,1468,-15780,11067,16631,-4996
mcu:,4212,-4240,-15264,-8515,4335,-597
mcu:,7808,-2412,-12092,-1689,-113,-1518
mcu:,-8900,-88,-16592,16492,-3962,-13297
mcu:,-10772,1988,-13264,19851,-422,9545
mcu:,-11252,1668,-11728,-3645,966,-1188
mcu:,-6392,19952,-9188,-1469,-1804,1253
mcu:,-11312,2860,-11632,-632,480,-210
mcu:,-11500,3572,-11048,-717,255,283
mcu:,-11600,3256,-11416,-303,995,-72
mcu:,-11132,3424,-11268,311,496,-223
mcu:,108,-8072,-19200,16353,32767,-1354
mcu:,5968,-620,-11740,-5742,-99,4755
mcu:,5552,-3636,-14920,7176,-3993,2978
mcu:,-12428,1420,-16324,-8895,-23138,4417
mcu:,-12008,468,-12084,3848,3520,-1400
mcu:,-11972,756,-11128,-2623,-2401,1180
mcu:,-12212,1472,-10696,269,25,129
mcu:,-12360,1400,-10336,-884,325,237
mcu:,-12340,1280,-10628,-500,175,141
mcu:,-12100,2996,-10444,1985,1793,-917
mcu:,5416,-9056,-15608,-18178,32767,3985
mcu:,7840,-2568,-12644,-3282,3292,-522
mcu:,8364,-2896,-13504,5703,-2995,748
mcu:,-10328,-240,-15584,-25347,-22845,-3095
mcu:,-12600,2708,-10444,7520,-210,1231
mcu:,-12192,656,-10736,-14,-40,-387
mcu:,-12476,628,-10464,-902,-379,473
mcu:,-12516,860,-10352,-884,-44,530
mcu:,-12496,1280,-10348,-363,-301,369
mcu:,-12368,2976,-10264,2829,2638,-117
mcu:,2300,-12700,-11592,-7203,5670,7379
mcu:,11652,-2384,-9336,-5093,1321,-574
mcu:,752,-6088,-15024,7162,-27161,-8221
mcu:,-16240,5380,-10260,-7044,2818,-699
mcu:,-11876,112,-15588,2435,-213,-899
mcu:,-12052,2476,-12140,-503,99,671
mcu:,-12140,1420,-10952,-1054,657,-211
mcu:,-11772,1808,-10932,-402,4,66
mcu:,-12084,2164,-10884,2,892,-360
mcu:,-11720,3372,-11792,3371,3771,-799
mcu:,4148,-13408,-15708,-8882,70,-5226
mcu:,10976,-3256,-11372,9379,3728,-2339
mcu:,4920,-7564,-16340,13116,-4939,2995
mcu:,-11496,3004,-12468,-11430,-4320,-2108
mcu:,-12040,1620,-10692,-2993,-1882,785
mcu:,-12216,2324,-12140,154,909,-650
mcu:,-11868,2924,-11012,-22,622,-23
mcu:,-11724,2860,-11028,-767,413,-62
mcu:,-11856,3136,-10892,-992,104,99
mcu:,-11420,4412,-12116,6456,6296,-900
mcu:,4320,-10220,-16280,-9530,1385,-807
