Time,I,Q
12-00-11.539,6233,12675
12-00-11.551,6402,12530
12-00-11.641,6430,12508
12-00-11.703,6422,12521
12-00-11.770,6406,12538
12-00-11.828,6384,12545
12-00-11.891,6368,12562
12-00-12.016,6360,12576
12-00-12.074,6341,12582
12-00-12.141,6382,12568
12-00-12.199,6434,12546
12-00-12.266,6494,12518
12-00-12.328,6353,12514
12-00-12.391,6369,12584
12-00-12.453,6295,12640
12-00-12.512,6266,12687
12-00-12.555,6176,12716
12-00-12.652,5962,12781
12-00-12.715,5902,12821
12-00-12.777,5948,12811
12-00-12.840,5964,12833
12-00-13.000,6024,12814
12-00-13.027,6068,12815
12-00-13.094,6081,12827
12-00-13.152,6045,12863
12-00-13.215,6094,12854
12-00-13.277,6068,12860
12-00-13.340,6028,12879
12-00-13.402,6017,12888
12-00-13.465,6029,12869
12-00-13.527,6112,12840
12-00-13.594,6162,12774
12-00-13.641,6286,12705
12-00-13.703,6341,12663
12-00-13.766,6354,12646
12-00-13.840,6404,12593
12-00-13.902,6342,12605
12-00-13.996,6074,12651
12-00-14.012,5459,12970
12-00-14.074,5289,13314
12-00-14.141,5285,13358
12-00-14.215,5293,13329
12-00-14.266,5447,13170
12-00-14.340,5544,13025
12-00-14.387,5731,12883
12-00-14.449,5806,12835
12-00-14.512,5867,12795
12-00-14.594,5906,12781
12-00-14.637,5931,12765
12-00-14.699,5920,12772
12-00-14.766,5909,12775
12-00-14.824,5893,12780
12-00-15.023,5891,12794
12-00-15.137,5902,12781
12-00-15.215,5963,12748
12-00-15.277,5983,12738
12-00-15.340,6000,12727
12-00-15.398,6005,12724
12-00-15.465,6001,12728
12-00-15.527,5974,12742
12-00-15.574,5963,12753
12-00-15.652,5968,12750
12-00-15.699,5963,12754
12-00-15.762,5967,12749
12-00-15.824,5977,12742
12-00-15.902,6000,12727
12-00-16.012,5990,12738
12-00-16.074,5966,12745
12-00-16.137,5938,12764
12-00-16.199,5919,12779
12-00-16.266,5906,12777
12-00-16.328,5882,12800
12-00-16.387,5858,12816
12-00-16.453,5847,12828
12-00-16.512,5843,12830
12-00-16.574,5839,12833
12-00-16.637,5841,12820
12-00-16.699,5889,12778
12-00-16.762,5964,12743
12-00-16.824,6128,12716
12-00-17.012,6157,12770
12-00-17.074,6154,12775
12-00-17.137,6149,12795
12-00-17.199,6095,12833
12-00-17.266,6040,12851
12-00-17.328,6014,12872
12-00-17.387,5995,12884
12-00-17.453,6014,12865
12-00-17.512,5990,12875
12-00-17.574,5957,12900
12-00-17.641,5970,12880
12-00-17.699,6032,12830
12-00-17.855,5965,12860
12-00-17.887,6003,12872
12-00-17.996,5984,12893
12-00-18.012,5947,12912
12-00-18.074,5999,12892
12-00-18.137,5980,12896
12-00-18.199,6030,12881
12-00-18.266,6106,12840
12-00-18.328,6198,12796
12-00-18.387,6255,12742
12-00-18.453,6284,12713
12-00-18.516,6298,12690
12-00-18.574,6305,12673
12-00-18.641,6332,12627
12-00-18.703,6327,12612
12-00-18.770,6372,12613
12-00-18.828,6250,12672
12-00-18.984,5683,12934
12-00-19.016,5503,13089
12-00-19.078,5448,13138
12-00-19.145,5491,13111
12-00-19.203,5563,13082
12-00-19.270,5614,13017
12-00-19.328,5730,12933
12-00-19.391,5842,12881
12-00-19.457,5909,12850
12-00-19.520,5943,12830
12-00-19.578,5972,12818
12-00-19.645,6007,12810
12-00-19.703,6034,12793
12-00-19.770,6080,12775
12-00-19.828,6092,12760
12-00-19.887,6084,12767
12-00-19.984,6117,12744
12-00-20.012,6101,12755
12-00-20.074,6091,12763
12-00-20.137,6071,12767
12-00-20.199,6047,12782
12-00-20.266,6034,12800
12-00-20.328,5989,12810
12-00-20.391,5900,12853
12-00-20.578,5816,12902
12-00-20.645,5583,13039
12-00-20.703,5571,13055
12-00-20.770,5555,13055
12-00-20.832,5556,13062
12-00-20.992,5546,13069
12-00-21.020,5531,13075
12-00-21.086,5518,13078
12-00-21.145,5560,13066
12-00-21.207,5687,13021
12-00-21.273,5990,12867
12-00-21.332,6111,12760
12-00-21.395,6154,12718
12-00-21.445,6169,12733
12-00-21.504,6217,12688
12-00-21.566,6280,12697
12-00-21.633,6332,12675
12-00-21.691,6295,12684
12-00-21.758,6213,12711
12-00-21.816,6253,12738
12-00-21.895,6319,12739
12-00-22.008,6259,12788
12-00-22.070,6416,12663
12-00-22.133,6404,12683
12-00-22.191,6373,12639
12-00-22.258,6270,12750
12-00-22.320,6259,12728
12-00-22.383,6421,12666
12-00-22.449,6275,12935
12-00-22.508,6320,12820
12-00-22.570,6478,12613
12-00-22.637,6257,12737
12-00-22.695,6324,12803
12-00-22.762,6500,12679
12-00-22.824,6457,12728
12-00-24.496,6414,12685
12-00-24.508,6432,12669
12-00-24.523,6410,12595
12-00-24.539,5208,13280
12-00-24.680,5402,13081
12-00-24.684,5903,12795
12-00-24.699,5949,12778
12-00-24.762,6094,12671
12-00-24.824,6116,12660
12-00-24.980,6140,12621
12-00-25.012,6184,12605
12-00-25.070,6196,12591
12-00-25.137,6244,12569
12-00-25.199,6285,12544
12-00-25.262,6314,12522
12-00-25.324,6327,12521
12-00-25.383,6303,12538
12-00-25.449,6270,12554
12-00-25.512,6256,12565
12-00-25.570,6244,12574
12-00-25.637,6216,12588
12-00-25.695,6199,12605
12-00-25.762,6177,12619
12-00-25.824,6150,12630
12-00-25.887,6138,12640
12-00-25.977,6105,12661
12-00-26.008,6098,12655
12-00-26.070,6087,12672
12-00-26.137,6070,12677
12-00-26.195,6083,12671
12-00-26.262,6083,12673
12-00-26.324,6080,12672
12-00-26.383,6077,12679
12-00-26.449,6067,12686
12-00-26.512,6049,12698
12-00-26.574,6033,12706
12-00-26.641,6023,12717
12-00-26.699,5989,12723
12-00-26.766,5985,12741
12-00-26.824,6157,12662
12-00-26.828,6314,12589
12-00-26.984,6242,12712
12-00-27.016,6240,12722
12-00-27.074,6283,12687
12-00-27.137,6192,12743
12-00-27.199,6155,12762
12-00-27.266,6105,12803
12-00-27.402,6054,12827
12-00-27.449,6147,12791
12-00-27.512,6153,12802
12-00-27.574,6119,12812
12-00-27.637,6114,12826
12-00-27.699,6216,12806
12-00-27.762,6143,12911
12-00-27.824,6153,12934
12-00-27.887,6276,12824
12-00-27.984,6224,12871
12-00-28.016,6089,12954
12-00-28.074,6149,12880
12-00-28.141,6185,12885
12-00-28.199,6239,12867
12-00-28.246,6253,12799
12-00-28.313,6278,12787
12-00-28.375,6278,12754
12-00-28.438,6312,12715
12-00-28.500,6307,12693
12-00-28.563,6400,12626
12-00-28.629,6386,12603
12-00-28.691,6396,12583
12-00-28.754,6464,12552
12-00-28.816,6441,12541
12-00-28.988,6378,12587
12-00-29.004,6384,12579
12-00-29.063,6360,12592
12-00-29.129,6328,12607
12-00-29.191,6299,12622
12-00-29.258,6272,12645
12-00-29.316,6202,12687
12-00-29.375,6123,12733
12-00-29.441,5954,12854
12-00-29.504,5694,12967
12-00-29.563,5572,13027
12-00-29.629,5554,13047
12-00-29.691,5650,13003
12-00-29.758,5806,12921
12-00-29.816,6070,12780
12-00-29.879,6225,12673
12-00-30.012,6258,12648
12-00-30.133,6290,12626
12-00-30.188,6391,12589
12-00-30.254,6379,12586
12-00-30.313,6366,12596
12-00-30.375,6351,12608
12-00-30.441,6312,12622
12-00-30.504,6270,12635
12-00-30.566,6238,12657
12-00-30.629,6231,12662
12-00-30.691,6229,12661
12-00-30.758,6255,12653
12-00-30.816,6303,12634
12-00-31.000,6280,12646
12-00-31.063,6250,12658
12-00-31.129,6191,12671
12-00-31.191,6160,12689
12-00-31.254,6213,12672
12-00-31.313,6283,12638
12-00-31.375,6283,12661
12-00-31.441,6245,12695
12-00-31.504,6143,12726
12-00-31.563,6088,12757
12-00-31.629,6239,12703
12-00-31.688,6186,12743
12-00-31.754,6208,12745
12-00-31.816,6136,12791
12-00-31.875,6097,12803
12-00-32.000,6135,12834
12-00-32.059,6118,12857
12-00-32.125,6072,12875
12-00-32.188,6014,12893
12-00-32.246,6015,12902
12-00-32.313,6052,12897
12-00-32.371,6017,12910
12-00-32.434,6046,12903
12-00-32.496,6108,12883
12-00-32.559,6114,12876
12-00-32.621,6263,12814
12-00-32.684,6273,12789
12-00-32.742,6278,12773
12-00-32.824,6333,12747
12-00-32.828,6342,12728
12-00-32.980,6396,12681
12-00-32.996,6402,12680
12-00-33.059,6370,12683
12-00-33.125,6318,12683
12-00-33.184,6256,12677
12-00-33.246,6290,12662
12-00-33.309,6176,12653
12-00-33.371,5811,12788
12-00-33.434,5507,13059
12-00-33.496,5550,13002
12-00-33.559,5716,12860
12-00-33.621,5995,12697
12-00-33.684,6213,12649
12-00-33.746,6166,12697
12-00-33.809,6268,12654
12-00-33.871,6268,12653
12-00-33.980,6260,12664
12-00-33.996,6247,12671
12-00-34.059,6243,12673
12-00-34.219,6229,12679
12-00-34.242,6222,12684
12-00-34.309,6230,12679
12-00-34.367,6237,12678
12-00-34.434,6242,12674
12-00-34.496,6242,12675
12-00-34.559,6235,12676
12-00-34.621,6234,12680
12-00-34.680,6247,12675
12-00-34.742,6242,12674
12-00-34.809,6245,12670
12-00-34.813,6250,12669
12-00-34.980,6252,12667
12-00-34.996,6251,12664
12-00-35.059,6259,12660
12-00-35.125,6274,12649
12-00-35.184,6283,12646
12-00-35.246,6286,12645
12-00-35.313,6296,12642
12-00-35.375,6295,12640
12-00-35.438,6300,12639
12-00-35.586,6305,12636
12-00-35.625,6287,12643
12-00-35.688,6295,12637
12-00-35.746,6303,12632
12-00-35.809,6310,12622
12-00-35.871,6303,12632
12-00-36.000,6290,12636
12-00-36.063,6280,12645
12-00-36.125,6290,12642
12-00-36.188,6285,12641
12-00-36.246,6270,12644
12-00-36.313,6270,12648
12-00-36.371,6273,12653
12-00-36.438,6261,12661
12-00-36.500,6225,12726
12-00-36.559,6170,12757
12-00-36.625,6125,12769
12-00-36.684,6022,12800
12-00-36.746,6070,12787
12-00-36.809,6155,12752
12-00-36.953,6103,12762
12-00-36.984,6143,12813
12-00-36.996,6090,12837
12-00-37.059,6073,12869
12-00-37.121,6077,12834
12-00-37.184,6312,12775
12-00-37.246,6200,12821
12-00-37.309,6240,12786
12-00-37.371,6358,12716
12-00-37.434,6382,12707
12-00-37.496,6335,12734
12-00-37.555,6337,12744
12-00-37.621,6332,12775
12-00-37.680,6401,12731
12-00-37.742,6427,12688
12-00-37.805,6444,12693
12-00-37.867,6451,12690
12-00-37.977,6435,12664
12-00-37.992,6406,12670
12-00-38.055,6399,12673
12-00-38.117,6402,12660
12-00-38.180,6393,12653
12-00-38.238,6407,12613
12-00-38.305,6366,12608
12-00-38.367,6388,12592
12-00-38.434,6466,12564
12-00-38.492,6340,12630
12-00-38.555,6242,12659
12-00-38.621,6309,12593
12-00-38.680,6381,12590
12-00-38.742,6414,12568
12-00-38.809,6417,12570
12-00-38.813,6414,12581
12-00-40.477,6412,12586
12-00-40.492,6366,12608
12-00-40.508,6351,12615
12-00-40.520,6318,12630
12-00-40.617,6406,12602
12-00-40.621,6456,12557
12-00-40.633,6403,12589
12-00-40.637,6378,12602
12-00-40.648,6331,12627
12-00-40.664,6148,12709
12-00-40.680,6054,12752
12-00-40.738,6224,12657
12-00-40.805,6285,12689
12-00-40.809,6131,12746
12-00-41.035,6030,12775
12-00-41.039,5958,12834
12-00-41.055,6070,12793
