Time,I,Q
11-09-12.434,2761,14509
11-09-12.441,2086,14557
11-09-12.527,2005,14487
11-09-12.590,2208,14309
11-09-12.652,2315,14261
11-09-12.711,2454,14165
11-09-12.777,2476,14132
11-09-12.898,2670,14054
11-09-12.965,2691,14063
11-09-13.027,2793,14037
11-09-13.090,2606,14102
11-09-13.152,2505,14121
11-09-13.211,2585,14132
11-09-13.277,2649,14160
11-09-13.340,2628,14186
11-09-13.398,2544,14241
11-09-13.449,2531,14278
11-09-13.527,2436,14342
11-09-13.590,2481,14396
11-09-13.652,2557,14416
11-09-13.727,2610,14446
11-09-15.383,2669,14457
11-09-15.398,2424,14236
11-09-15.414,2542,14128
11-09-15.434,2538,14132
11-09-15.523,2465,14180
11-09-15.539,2023,14480
11-09-15.555,2066,14467
11-09-15.570,1833,14507
11-09-15.590,2784,14023
11-09-15.652,2819,14008
11-09-15.727,2751,14063
11-09-15.887,2291,14269
11-09-15.898,2250,14314
11-09-15.965,2229,14336
11-09-16.023,2298,14352
11-09-16.090,2415,14372
11-09-16.152,2456,14399
11-09-16.211,2436,14412
11-09-16.277,2326,14407
11-09-16.336,2302,14363
11-09-16.398,2300,14264
11-09-16.465,2403,14180
11-09-16.527,2373,14143
11-09-16.594,2521,14069
11-09-16.652,2552,14075
11-09-16.715,2555,14074
11-09-16.777,2648,14039
11-09-16.898,2504,14087
11-09-16.965,2413,14166
11-09-17.027,2278,14213
11-09-17.090,2238,14215
11-09-17.152,1886,14360
11-09-17.211,1818,14347
11-09-17.273,2050,14201
11-09-17.336,2459,14121
11-09-17.398,2497,14118
11-09-17.469,2499,14097
11-09-17.523,2601,14051
11-09-17.586,2632,14026
11-09-17.648,2518,14063
11-09-17.727,2325,14192
11-09-17.879,2340,14483
11-09-17.895,2571,14477
11-09-17.977,2412,14427
11-09-18.035,2448,14510
11-09-18.102,2727,14503
11-09-18.160,2533,14518
11-09-18.223,2415,14519
11-09-18.289,2350,14468
11-09-18.348,2326,14378
11-09-18.395,2459,14262
11-09-18.461,2396,14176
11-09-18.535,2341,14135
11-09-18.602,2608,14053
11-09-18.648,2506,14083
11-09-18.723,2627,14083
11-09-18.785,2663,14066
11-09-18.879,2670,14070
11-09-18.910,2634,14085
11-09-18.973,2559,14105
11-09-19.031,2285,14199
11-09-19.098,2164,14353
11-09-19.160,2135,14378
11-09-19.223,2089,14278
