Time,I,Q
12-44-24.594,6169,13062
12-44-24.598,6172,13060
12-44-24.605,6174,13058
12-44-24.715,6176,13057
12-44-24.777,6175,13059
12-44-24.840,6174,13060
12-44-24.902,6176,13062
12-44-24.969,6176,13058
12-44-25.031,6175,13058
12-44-25.305,6170,13061
12-44-25.340,6156,13073
12-44-25.398,6149,13076
12-44-25.465,6143,13079
12-44-25.527,6142,13077
12-44-25.594,6152,13073
12-44-25.609,6163,13069
12-44-25.727,6168,13067
12-44-25.789,6159,13068
12-44-25.852,6138,13078
12-44-25.910,6119,13095
12-44-25.977,6106,13109
12-44-26.039,6123,13109
12-44-26.102,6138,13118
12-44-26.191,6121,13157
12-44-26.223,6142,13161
12-44-26.289,6181,13139
12-44-26.352,6160,13148
12-44-26.410,6127,13167
12-44-26.473,6120,13177
12-44-26.535,6129,13177
12-44-26.602,6145,13165
12-44-26.664,6171,13145
12-44-26.711,6186,13138
12-44-26.777,6188,13143
12-44-26.840,6182,13131
12-44-26.898,6205,13103
12-44-26.965,6264,13079
12-44-27.039,6261,13082
12-44-27.043,6209,13112
12-44-27.199,6071,13193
12-44-27.215,6174,13097
12-44-27.277,6160,13095
12-44-27.340,6151,13109
12-44-27.398,6141,13129
12-44-27.465,6186,13096
12-44-27.523,6177,13104
12-44-27.590,6167,13110
12-44-27.652,6171,13103
12-44-27.711,6194,13083
12-44-27.777,6188,13082
12-44-27.840,6180,13080
12-44-27.898,6167,13081
12-44-27.965,6100,13110
12-44-28.023,6092,13103
12-44-28.090,6086,13106
12-44-28.211,6198,13083
12-44-28.277,6155,13117
12-44-28.336,6213,13120
12-44-28.398,6223,13092
12-44-28.465,6264,13083
12-44-28.523,6271,13062
12-44-28.590,6247,13085
12-44-28.648,6229,13104
12-44-28.711,6236,13097
12-44-28.777,6244,13081
12-44-28.840,6303,13039
12-44-28.898,6297,13055
12-44-28.965,6255,13084
12-44-29.023,6175,13078
12-44-29.195,6252,13058
12-44-29.246,6324,13047
12-44-29.383,6331,13021
12-44-29.387,6309,13033
12-44-29.398,6291,13046
12-44-29.465,6300,13034
12-44-29.523,6271,13051
12-44-29.590,6176,13072
12-44-29.648,6167,13101
12-44-29.711,6350,12969
12-44-29.777,6200,13089
12-44-29.840,6328,13059
12-44-29.898,6292,13025
12-44-29.965,6244,13067
12-44-30.023,6261,13071
12-44-30.090,6250,13056
12-44-30.184,6242,13066
12-44-30.215,6245,13072
12-44-30.277,6241,13081
12-44-30.340,6272,13045
12-44-30.398,6334,13039
12-44-30.465,6190,13070
12-44-30.527,6288,12997
12-44-30.590,6282,13037
12-44-30.652,6357,13012
12-44-30.715,6384,13051
12-44-30.777,6332,13042
12-44-30.840,6252,13120
12-44-30.898,6255,13116
12-44-30.965,6304,13064
12-44-31.023,6264,13088
12-44-31.184,6285,13007
12-44-31.215,6368,12999
12-44-31.277,6215,13052
12-44-31.340,6370,13038
12-44-31.398,6384,12997
12-44-31.465,6324,13022
12-44-31.527,6314,13038
12-44-31.594,6332,13008
12-44-31.652,6343,12984
12-44-31.711,6338,13000
12-44-31.777,6303,13018
12-44-31.840,6291,12998
12-44-31.902,6397,12970
12-44-31.965,6402,12975
12-44-32.074,6377,12972
12-44-32.090,6339,13006
12-44-32.184,6309,13037
12-44-32.211,6362,13029
12-44-32.277,6310,13071
12-44-32.336,6310,13081
12-44-32.398,6278,13108
12-44-32.465,6234,13136
12-44-32.527,6210,13140
12-44-32.590,6248,13109
12-44-32.648,6250,13107
12-44-32.711,6224,13123
12-44-32.777,6211,13107
12-44-32.840,6169,13125
12-44-32.898,6255,13087
12-44-32.965,6310,13041
12-44-33.027,6329,13033
12-44-34.680,6356,13026
12-44-34.684,6300,13032
12-44-34.695,6360,12981
12-44-34.699,6349,12978
12-44-34.711,6362,13004
12-44-34.715,6361,13015
12-44-34.727,6232,13135
12-44-34.824,6265,13117
12-44-34.840,6121,13214
