:,6996,12672,7536,-1012,686,-436
mcu:,6700,13472,7072,-649,365,45
mcu:,7064,12656,7260,-103,201,576
mcu:,5516,14084,6912,-1302,99,-880
mcu:,7812,15552,4732,5663,-3941,8944
mcu:,13616,5140,-8700,5871,-814,1596
mcu:,6556,10784,1620,-20446,9678,-21099
mcu:,3752,17516,7244,5957,1520,7049
mcu:,13508,4120,-17368,13840,-13587,6712
mcu:,13648,4908,-6504,-11417,10526,-6605
mcu:,1832,14776,12688,3595,2795,8350
mcu:,7836,10868,1828,19480,-2772,14453
mcu:,14704,3368,-10628,-4905,3555,-1534
mcu:,7164,9132,2660,-14486,9020,-19071
mcu:,4136,13060,5796,2085,2648,872
mcu:,10140,10604,1136,6210,-5780,11448
mcu:,12584,2304,-9524,-3880,4248,-2940
mcu:,6612,11892,5620,-11899,6938,-18904
mcu:,2972,13728,6164,-622,-910,1384
mcu:,9612,14156,6056,8873,-9329,12200
mcu:,13212,2564,-10956,-3469,2394,-1264
mcu:,4572,13508,5216,-12082,9091,-20264
mcu:,3116,14180,7320,1238,-2591,2221
mcu:,11180,7808,-316,12356,-9351,10857
mcu:,14068,4112,-11584,-3195,3934,-2279
mcu:,8132,12020,812,-14606,9519,-18560
mcu:,3688,13356,6816,797,1541,1844
mcu:,9548,6204,1248,12603,-9973,12204
mcu:,13288,3192,-11300,-6399,3707,-2227
mcu:,2804,13440,10268,-7231,6148,-21785
mcu:,4540,14628,8004,-895,-2068,3627
mcu:,7952,2676,-7980,14246,-6211,7193
mcu:,15768,4976,-8952,-8058,3094,-696
mcu:,4004,17648,12380,-5177,-2051,-18719
mcu:,5076,14400,8168,-1825,1524,-1213
mcu:,9844,7836,-264,14232,-8449,10719
mcu:,13976,3048,-10264,-9594,4855,-3161
mcu:,5848,18684,9336,-13600,3472,-15616
mcu:,3880,16944,9476,8731,-2544,5979
mcu:,12856,4148,-7848,8036,-9666,2370
mcu:,13704,5532,-6288,-13764,8710,-6095
mcu:,3128,17660,13060,2857,6686,-6460
mcu:,5164,15372,9612,2890,-2899,4573
mcu:,11900,2848,-5960,10206,-7846,2825
mcu:,11900,2848,-5960,10206,-7846,2825
mcu:,1740,18368,10952,-750,5253,679
mcu:,3476,17044,9788,4775,-1010,3142
mcu:,13484,5668,-10752,11083,-6668,4205
mcu:,13484,5668,-10752,11083,-6668,4205
mcu:,2900,16936,13956,-4361,5739,-10651
mcu:,5208,15012,7968,1191,-526,2839
mcu:,11700,5332,-3544,9746,-10074,5365
mcu:,15128,4524,-7956,-8018,3394,-681
mcu:,5632,15672,9432,-5078,3910,-19326
mcu:,5624,14088,8424,-1064,404,-127
mcu:,10476,6896,-1260,15779,-7071,6097
mcu:,15040,3052,-6720,-7542,3444,-857
mcu:,6124,22064,10448,-11434,1016,-15699
mcu:,3864,17464,10912,638,-420,2030
mcu:,13976,7712,-6108,10916,-9509,8994
mcu:,13108,5208,-5016,-16824,10903,-5633
mcu:,1832,15488,10144,991,-1514,2501
mcu:,7696,13888,10120,5369,-7087,13502
mcu:,14392,4836,-7884,6205,-6481,4156
mcu:,14424,4300,-6344,-11083,7965,-2522
mcu:,6504,17916,10400,-4533,12699,-16143
mcu:,6612,13448,7400,-391,2133,-1659
mcu:,11948,5936,-2692,11918,-8071,9174
mcu:,14156,3964,-6056,-7173,8081,-1175
mcu:,3392,17640,9180,-927,8998,-7764
mcu:,6384,14380,8272,-909,-946,2407
mcu:,9620,8048,-624,11832,-5460,7344
mcu:,14680,5572,-8236,-3853,3581,36
mcu:,8780,13324,5696,-6904,5509,-12419
mcu:,6888,14276,8200,1894,-343,2694
mcu:,12196,6624,-7668,12720,-4563,4260
mcu:,14076,5812,-5824,-8657,10866,-7422
mcu:,4752,17520,9464,-10231,4941,4905
mcu:,6032,17376,12332,5118,-5484,10174
mcu:,15160,6172,-4524,6409,-6244,4426
mcu:,13528,4380,-3036,-9674,9287,-7472
mcu:,3908,15512,9848,-856,2854,-3118
mcu:,10468,13124,8276,8246,-6802,10961
mcu:,14844,3464,-9164,5383,-1318,2250
mcu:,12844,7824,-2228,-12821,8078,-12644
mcu:,4520,13880,8100,175,-715,217
mcu:,5020,15008,9484,713,-941,1826
mcu:,5020,15008,9484,713,-941,1826
mcu:,14496,3932,-4736,-9776,9449,-7163
mcu:,3116,18080,10712,-3065,6471,-1358
mcu:,4780,16508,10024,4401,-3425,6447
mcu:,15044,7712,-5864,5338,-8032,9725
mcu:,13592,5176,-5064,-11263,9411,-5541
mcu:,4848,16576,10988,-2177,403,205
mcu:,2796,19888,8368,2990,-3711,7861
mcu:,15892,4868,-11312,9716,-7572,5766
mcu:,13468,3876,-6728,-7250,12824,-5861
mcu:,3040,17684,9852,1003,3969,136
mcu:,5932,16824,9568,3869,-4429,6289
mcu:,12312,1988,-4004,4729,-10870,5071
mcu:,14876,3392,-8096,-7978,10660,-4909
mcu:,4264,17636,11188,-10141,6298,-11952
mcu:,4584,16532,9064,4917,-1525,7717
mcu:,12804,5312,-10584,8167,-10126,8345
mcu:,11268,4584,-2816,-16498,13214,-12067
mcu:,2324,16808,9432,466,2453,-2145
mcu:,9124,13632,7316,9180,-6813,15961
mcu:,14636,5112,-10116,4316,-1070,1346
mcu:,9316,7568,-2320,-11674,12599,-17320
mcu:,3920,12984,6804,-1063,203,3498
mcu:,7936,16416,7956,7993,-7441,13771
mcu:,14556,2916,-9948,6927,-1405,2234
mcu:,11068,7004,184,-13508,11739,-11292
mcu:,4412,12932,6288,-141,169,3797
mcu:,6092,16784,10116,8488,-6922,10261
mcu:,14524,3704,-8148,5805,-550,2198
mcu:,11512,8092,1412,-13847,10257,-11567
