Time,I,Q
12-35-49.953,6993,12936
12-35-49.980,7005,12927
12-35-50.012,7007,12928
12-35-50.074,7007,12928
12-35-50.137,7000,12932
12-35-50.199,7000,12932
12-35-50.266,7003,12928
12-35-50.324,7000,12936
12-35-50.387,6990,12946
12-35-50.453,6973,12957
12-35-50.512,6965,12962
12-35-50.574,6969,12958
12-35-50.641,6972,12957
12-35-50.699,6981,12952
12-35-50.766,6995,12945
12-35-50.828,7010,12935
12-35-50.887,7008,12931
12-35-50.984,7007,12932
12-35-51.063,6997,12934
12-35-51.129,6993,12939
12-35-51.191,6995,12940
12-35-51.258,6994,12943
12-35-51.320,6995,12944
12-35-51.379,6992,12949
12-35-51.445,6975,12958
12-35-51.504,6969,12959
12-35-51.566,6966,12960
12-35-51.633,6968,12962
12-35-51.695,6968,12958
12-35-51.758,6976,12957
12-35-51.820,6982,12949
12-35-51.977,6987,12940
12-35-52.008,6997,12935
12-35-52.066,6981,12935
12-35-52.133,6974,12935
12-35-52.191,6970,12937
12-35-52.258,6964,12940
12-35-52.320,6975,12931
12-35-52.383,6978,12932
12-35-52.445,6980,12931
12-35-52.504,6977,12932
12-35-52.566,6966,12933
12-35-52.633,6958,12933
12-35-52.695,6942,12943
12-35-52.758,6915,12956
12-35-52.820,6900,12973
12-35-52.879,6944,12956
12-35-52.973,6844,12977
12-35-53.004,6774,13066
12-35-53.063,6847,13015
12-35-53.129,6850,13019
12-35-53.188,6838,13026
12-35-53.254,6814,13038
12-35-53.313,6808,13029
12-35-53.375,6819,13021
12-35-53.441,6840,13013
12-35-53.504,6850,12998
12-35-53.563,6839,13005
12-35-53.629,6779,13051
12-35-53.688,6819,13044
12-35-53.754,6900,12932
12-35-53.816,7037,12877
12-35-53.984,7069,12851
12-35-54.027,7093,12878
12-35-54.063,7089,12883
12-35-54.125,7110,12873
12-35-54.188,7073,12852
12-35-54.246,7015,12915
12-35-54.313,7002,12935
12-35-54.375,6999,12893
12-35-54.441,6993,12926
12-35-54.500,6973,12928
12-35-54.559,6885,12980
12-35-54.625,6846,13011
12-35-54.688,6787,13034
12-35-54.754,6903,12981
12-35-54.813,6915,12984
12-35-54.871,6879,12980
12-35-54.969,6820,13031
12-35-55.000,6757,13085
12-35-55.063,6811,13072
12-35-55.125,6890,13017
12-35-55.184,6898,12987
12-35-55.246,6913,12977
12-35-55.313,6861,13025
12-35-55.371,6880,12989
12-35-55.438,7023,12920
12-35-55.500,7084,12889
12-35-55.559,7074,12870
12-35-55.625,7114,12838
12-35-55.688,7100,12833
12-35-55.746,7112,12834
12-35-55.809,7101,12857
12-35-55.813,7098,12863
12-35-55.969,7065,12899
12-35-56.000,7049,12901
12-35-56.059,7020,12915
12-35-56.125,7050,12890
12-35-56.188,7061,12881
12-35-56.246,7053,12903
12-35-56.313,6971,12900
12-35-56.375,6982,12957
