Time,I,Q
10-38-37.824,3056,14328
10-38-37.832,3046,14331
10-38-37.949,3046,14329
10-38-37.977,3044,14328
10-38-38.035,3038,14328
10-38-38.102,3027,14333
10-38-38.160,3023,14331
10-38-38.223,3013,14332
10-38-38.289,2995,14333
10-38-38.352,2963,14339
10-38-38.410,2941,14354
10-38-38.477,2934,14364
10-38-38.535,2948,14369
10-38-38.602,2956,14370
10-38-38.660,2952,14373
10-38-38.723,2938,14380
10-38-38.793,2933,14381
10-38-38.953,2979,14355
10-38-38.984,3028,14344
10-38-39.047,3041,14340
10-38-39.109,3028,14343
10-38-39.172,3010,14340
10-38-39.234,2989,14342
10-38-39.297,3004,14335
10-38-39.359,3030,14319
10-38-39.426,3050,14320
10-38-39.488,3059,14325
10-38-39.551,3059,14313
10-38-39.613,3074,14304
10-38-39.672,3061,14306
10-38-39.734,3037,14320
10-38-39.801,3014,14323
10-38-39.863,2959,14340
10-38-39.957,2923,14358
10-38-39.973,2923,14355
10-38-40.047,2930,14342
10-38-40.113,2954,14333
10-38-40.176,3017,14317
10-38-40.234,3069,14307
10-38-40.285,3091,14306
10-38-40.348,3127,14297
10-38-40.410,3148,14288
10-38-40.473,3148,14283
10-38-40.535,3152,14283
10-38-40.602,3134,14283
10-38-40.664,3110,14302
10-38-40.723,3111,14311
10-38-40.801,3082,14336
10-38-40.805,3023,14352
10-38-40.961,2982,14357
10-38-40.977,2994,14338
10-38-41.035,2994,14332
10-38-41.102,3024,14325
10-38-41.160,3064,14311
10-38-41.223,3087,14308
10-38-41.285,3074,14317
10-38-41.344,3101,14298
10-38-41.426,3099,14293
10-38-41.473,3087,14304
10-38-41.547,3068,14310
10-38-41.602,3045,14318
10-38-41.660,3013,14329
10-38-41.723,2981,14332
10-38-41.785,2971,14324
10-38-41.848,2956,14323
10-38-41.957,2961,14324
10-38-41.973,2966,14325
10-38-42.047,3022,14322
10-38-42.113,3089,14305
10-38-42.176,3113,14293
10-38-42.234,3137,14287
10-38-42.297,3146,14282
10-38-42.359,3143,14279
10-38-42.426,3130,14286
10-38-42.488,3123,14295
10-38-42.547,3107,14304
10-38-42.609,3061,14330
10-38-42.672,2999,14355
10-38-42.734,2952,14366
10-38-42.797,2941,14359
10-38-42.953,2999,14326
10-38-42.984,3029,14315
10-38-43.047,3056,14317
10-38-43.113,3076,14325
10-38-43.172,3077,14319
10-38-43.234,3093,14317
10-38-43.297,3084,14316
10-38-43.359,3078,14316
10-38-43.426,3061,14312
10-38-43.484,3016,14317
10-38-43.547,2963,14332
10-38-43.598,2942,14342
10-38-43.656,2940,14337
10-38-43.719,2951,14330
10-38-43.785,2972,14324
10-38-43.848,3034,14308
10-38-43.961,3100,14294
10-38-43.973,3137,14289
10-38-44.031,3155,14281
10-38-44.098,3159,14275
10-38-44.160,3158,14278
10-38-44.223,3144,14281
10-38-44.289,3126,14293
10-38-44.352,3109,14317
10-38-44.410,3062,14340
10-38-44.477,3026,14347
10-38-44.535,3020,14344
10-38-44.602,3016,14328
10-38-44.664,3035,14321
10-38-44.727,3031,14313
10-38-44.789,3054,14313
10-38-44.945,3059,14333
10-38-44.977,3081,14336
10-38-45.039,3084,14327
10-38-45.102,3082,14323
10-38-45.164,3092,14319
10-38-45.223,3088,14318
10-38-45.289,3058,14323
10-38-45.348,3025,14329
10-38-45.406,3002,14329
10-38-45.473,2977,14324
10-38-45.535,2958,14323
10-38-45.598,2979,14319
10-38-45.660,3008,14304
10-38-45.723,3064,14288
10-38-45.785,3092,14274
10-38-45.848,3134,14265
10-38-45.945,3145,14266
10-38-45.977,3141,14272
10-38-46.039,3139,14279
10-38-46.102,3114,14285
10-38-46.160,3083,14295
10-38-46.223,3045,14322
10-38-46.289,2996,14349
10-38-46.348,2972,14364
10-38-46.410,2985,14362
10-38-46.477,3009,14340
10-38-46.535,3040,14323
10-38-46.602,3046,14311
10-38-46.664,3051,14303
10-38-46.723,3038,14306
10-38-46.789,3048,14324
10-38-46.945,3054,14336
10-38-46.977,3074,14328
10-38-47.035,3088,14322
10-38-47.102,3085,14324
10-38-47.160,3083,14326
10-38-47.223,3071,14326
10-38-47.289,3064,14330
10-38-47.348,3042,14333
10-38-47.410,3024,14335
10-38-47.477,3015,14330
10-38-47.535,2998,14331
10-38-47.602,2987,14329
10-38-47.664,2952,14329
10-38-47.727,2966,14331
10-38-47.789,2978,14315
10-38-47.852,3015,14310
10-38-47.957,3043,14294
10-38-47.973,3086,14276
10-38-48.035,3110,14272
10-38-48.098,3125,14274
10-38-48.160,3116,14280
10-38-48.223,3103,14288
10-38-48.285,3089,14295
10-38-48.348,3054,14315
10-38-48.406,3020,14328
10-38-48.473,3002,14347
10-38-48.531,3013,14346
10-38-48.598,3028,14333
10-38-48.656,3059,14319
10-38-48.719,3066,14307
10-38-48.797,3043,14301
10-38-48.801,3029,14302
10-38-48.953,3032,14319
10-38-48.969,3047,14323
10-38-49.031,3055,14328
10-38-49.094,3077,14319
10-38-49.156,3088,14310
10-38-49.215,3083,14309
10-38-49.281,3078,14310
10-38-49.355,3078,14310
10-38-49.410,3066,14317
10-38-49.480,3022,14333
10-38-49.543,2987,14341
10-38-49.605,2967,14341
10-38-49.668,2965,14335
10-38-49.715,2948,14332
10-38-49.781,2973,14329
10-38-49.840,3023,14300
10-38-49.953,3066,14292
10-38-49.980,3107,14292
10-38-50.027,3113,14285
10-38-50.094,3115,14288
10-38-50.152,3119,14287
10-38-50.215,3115,14281
10-38-50.281,3098,14295
10-38-50.344,3088,14303
10-38-50.402,3076,14306
10-38-50.465,3074,14311
10-38-50.527,3060,14322
10-38-50.605,3042,14327
10-38-50.668,3048,14319
10-38-50.727,3055,14307
10-38-50.793,3050,14301
10-38-52.449,3031,14302
10-38-52.461,3068,14321
10-38-52.477,3081,14312
10-38-52.492,2990,14329
10-38-52.590,2963,14336
10-38-52.605,2971,14320
10-38-52.617,3124,14269
10-38-52.633,3105,14281
10-38-52.664,3023,14321
10-38-52.727,3022,14319
10-38-52.793,3027,14309
10-38-52.949,3043,14297
10-38-52.965,3059,14302
10-38-53.039,3057,14315
10-38-53.105,3076,14308
10-38-53.164,3082,14310
10-38-53.227,3073,14316
10-38-53.293,3067,14317
