Time,I,Q
10-12-18.945,1969,15115
10-12-19.008,1971,15115
10-12-19.070,1970,15115
10-12-19.230,1972,15114
10-12-19.266,1973,15115
10-12-19.324,1970,15114
10-12-19.387,1967,15116
10-12-19.449,1985,15106
10-12-19.512,2382,15016
10-12-19.574,2423,15269
10-12-19.641,1536,15310
10-12-19.703,2367,15215
10-12-19.770,2388,15077
10-12-19.832,2183,15056
10-12-19.895,1838,15268
10-12-19.961,1794,15190
10-12-20.008,2225,15080
10-12-20.070,2585,15012
10-12-20.137,2606,14971
10-12-20.227,2393,15047
10-12-20.262,2200,15117
10-12-20.324,2137,15134
10-12-20.387,2083,15156
10-12-20.453,2076,15162
10-12-20.516,2112,15156
10-12-20.578,2196,15154
10-12-20.645,2213,15159
10-12-20.707,2208,15149
10-12-20.770,2232,15080
10-12-20.832,2648,14916
10-12-20.879,2689,14998
10-12-20.945,1954,15156
10-12-21.008,1958,15178
10-12-21.070,1918,15254
10-12-21.230,2290,15063
10-12-21.266,1281,15328
10-12-21.328,1567,15326
10-12-21.391,2153,15126
10-12-21.457,2579,14978
10-12-21.520,2301,15016
10-12-21.578,2194,15039
10-12-21.629,2162,15046
10-12-21.691,2195,15023
10-12-21.758,2280,15015
10-12-21.820,2324,15003
10-12-21.883,2339,14999
10-12-21.949,2335,15000
10-12-22.008,2331,15001
10-12-22.070,2329,15002
10-12-22.137,2332,15001
10-12-22.230,2335,15001
10-12-22.266,2341,15000
10-12-22.328,2339,15001
10-12-22.391,2339,14999
10-12-22.457,2340,15002
10-12-22.520,2348,14999
10-12-22.566,2356,14999
10-12-22.629,2368,14997
10-12-22.691,2376,14996
10-12-22.758,2385,14995
10-12-22.820,2391,14994
10-12-22.883,2384,14995
10-12-22.945,2377,14999
10-12-23.008,2371,14999
10-12-23.070,2365,15000
10-12-23.230,2354,15003
10-12-23.266,2340,15005
10-12-23.328,2312,15010
10-12-23.391,2290,15014
10-12-23.453,2284,15016
10-12-23.516,2289,15015
10-12-23.578,2303,15012
10-12-23.629,2318,15009
10-12-23.691,2321,15010
10-12-23.758,2317,15010
10-12-23.816,2308,15010
10-12-23.879,2304,15011
10-12-23.945,2303,15009
10-12-24.008,2300,15014
10-12-24.070,2298,15013
10-12-24.137,2298,15015
10-12-24.230,2296,15014
10-12-24.266,2296,15014
10-12-24.328,2299,15013
10-12-24.387,2299,15013
10-12-24.453,2303,15012
10-12-24.621,2303,15013
10-12-24.641,2288,15017
10-12-24.688,2289,15016
10-12-24.754,2286,15014
10-12-24.816,2275,15019
10-12-24.879,2262,15022
10-12-24.945,2258,15023
10-12-25.008,2254,15023
10-12-25.070,2248,15026
10-12-25.227,2228,15029
10-12-25.262,2223,15030
10-12-25.324,2216,15032
10-12-25.383,2219,15029
10-12-25.449,2313,15018
10-12-25.512,2609,14987
10-12-25.574,1755,15268
10-12-25.625,1539,15288
10-12-25.688,2289,15087
10-12-25.754,2497,15018
10-12-25.816,1735,15267
10-12-25.895,1664,15207
10-12-25.945,2202,15084
10-12-26.008,2591,15024
10-12-26.066,2538,14952
10-12-26.133,2252,15017
10-12-26.262,2034,15164
10-12-26.320,2036,15200
10-12-26.383,2048,15198
10-12-26.449,2075,15187
10-12-26.512,2150,15179
10-12-26.574,2158,15161
10-12-26.625,2184,15092
10-12-26.688,2587,15002
10-12-26.754,2666,14890
10-12-26.816,1860,15105
10-12-26.879,1784,15199
10-12-26.941,2313,15096
10-12-27.004,2272,15060
10-12-27.066,2042,15320
10-12-27.348,2445,15020
10-12-27.383,2221,15026
10-12-27.449,2268,15018
10-12-27.512,2343,14999
10-12-27.559,2405,14977
10-12-27.641,2448,14964
10-12-27.688,2475,14959
10-12-27.754,2479,14961
10-12-27.813,2484,14960
10-12-27.875,2485,14961
10-12-27.941,2483,14965
10-12-28.004,2482,14969
10-12-28.066,2484,14970
10-12-28.129,2498,14969
10-12-28.223,2501,14966
10-12-28.258,2496,14966
10-12-28.320,2497,14966
10-12-28.383,2500,14965
10-12-28.449,2504,14963
10-12-28.512,2512,14962
10-12-28.574,2522,14962
10-12-28.637,2529,14963
10-12-28.684,2532,14963
10-12-28.746,2533,14964
10-12-28.813,2540,14965
10-12-28.875,2538,14966
10-12-28.938,2535,14967
10-12-29.000,2533,14966
10-12-29.063,2527,14967
10-12-30.730,2521,14968
10-12-30.746,2523,14969
10-12-30.781,2522,14970
10-12-30.875,2499,14972
10-12-30.891,2505,14971
10-12-30.926,2477,14975
10-12-30.957,2424,14980
10-12-31.004,2424,14980
10-12-31.063,2426,14981
10-12-31.223,2436,14979
10-12-31.258,2459,14979
10-12-31.320,2488,14975
10-12-31.383,2607,15058
10-12-31.441,1811,15300
10-12-31.508,1507,15256
10-12-31.555,2213,15081
10-12-31.621,2420,15018
10-12-31.684,1740,15252
10-12-31.746,1859,15207
10-12-31.809,2581,15018
10-12-31.871,2562,14945
10-12-31.934,2277,15020
10-12-31.996,2189,15087
10-12-32.059,2038,15143
10-12-32.125,1993,15194
10-12-32.219,2034,15198
10-12-32.254,2044,15184
10-12-32.316,2105,15171
10-12-32.379,2149,15169
10-12-32.445,2163,15152
10-12-32.508,2600,14998
10-12-32.555,2209,14973
10-12-32.621,1832,15192
10-12-32.789,2198,15129
10-12-32.824,2148,15327
10-12-32.871,1417,15328
10-12-32.938,2728,14928
10-12-33.000,2431,15003
10-12-33.059,2361,15024
10-12-33.219,2306,15073
10-12-33.254,2326,15068
10-12-33.313,2364,15052
10-12-33.375,2429,15026
10-12-33.441,2443,15015
10-12-33.504,2422,15016
10-12-33.566,2372,15014
10-12-33.617,2375,15001
10-12-33.680,2386,14995
10-12-33.742,2393,14992
10-12-33.809,2389,14992
10-12-33.871,2398,14989
10-12-33.938,2404,14985
10-12-33.996,2403,14982
10-12-34.059,2410,14981
10-12-34.125,2412,14977
10-12-34.215,2418,14976
10-12-34.246,2420,14974
10-12-34.313,2423,14973
10-12-34.375,2429,14967
10-12-34.441,2437,14967
10-12-34.504,2442,14966
10-12-34.566,2453,14962
10-12-34.633,2457,14959
10-12-34.676,2455,14959
10-12-34.738,2448,14961
10-12-34.805,2446,14963
10-12-34.867,2441,14963
10-12-34.934,2443,14962
10-12-34.996,2449,14957
10-12-35.055,2452,14957
10-12-35.215,2459,14955
10-12-35.246,2455,14956
10-12-35.313,2461,14954
10-12-35.375,2467,14954
10-12-35.527,2469,14952
10-12-35.563,2476,14950
10-12-35.629,2478,14950
10-12-35.691,2478,14950
10-12-35.734,2475,14951
10-12-35.801,2475,14948
10-12-35.863,2470,14951
10-12-35.930,2474,14948
10-12-35.992,2478,14949
10-12-36.055,2486,14948
10-12-36.121,2490,14946
10-12-36.227,2493,14947
10-12-36.242,2490,14948
10-12-36.309,2489,14949
10-12-36.371,2487,14950
10-12-36.438,2480,14952
10-12-36.500,2482,14952
10-12-36.563,2484,14951
10-12-36.629,2492,14951
10-12-36.676,2499,14951
10-12-36.734,2502,14950
10-12-36.801,2501,14951
10-12-36.863,2498,14950
10-12-36.930,2497,14950
10-12-36.992,2498,14950
10-12-37.055,2502,14949
10-12-37.215,2514,14947
10-12-37.246,2514,14947
10-12-37.309,2506,14949
10-12-37.371,2501,14950
10-12-37.438,2560,14949
10-12-37.500,2570,14990
10-12-37.559,1668,15279
10-12-37.625,1678,15282
10-12-37.688,2226,15082
10-12-37.734,2355,15006
10-12-37.801,1752,15260
10-12-37.863,1643,15193
10-12-37.930,2313,15003
10-12-37.988,2635,14940
10-12-38.051,2374,14977
10-12-38.117,2178,15072
10-12-38.254,2061,15113
10-12-38.305,1970,15180
10-12-38.367,1976,15187
10-12-38.434,2030,15184
10-12-38.496,2143,15165
10-12-38.559,2218,15159
10-12-38.621,2194,15157
10-12-38.684,2164,15126
10-12-38.746,2370,15068
10-12-38.813,2711,14903
10-12-38.871,1755,15109
10-12-38.938,1672,15186
10-12-39.000,2193,15130
10-12-39.063,2179,15061
10-12-39.223,1118,15271
10-12-39.238,1360,15340
10-12-39.305,1770,15288
10-12-39.363,2506,15056
10-12-39.430,2503,15014
10-12-39.492,2411,15004
10-12-39.555,2386,15005
10-12-39.621,2399,15001
10-12-39.684,2427,15002
10-12-39.742,2437,14999
10-12-39.809,2436,14997
10-12-39.871,2418,14996
10-12-39.938,2391,14997
10-12-39.996,2375,14997
10-12-40.059,2378,14996
10-12-40.125,2394,14996
10-12-40.215,2398,14995
10-12-40.230,2403,14993
10-12-40.297,2397,14994
10-12-40.359,2388,14995
10-12-40.426,2391,14993
10-12-40.488,2394,14995
10-12-40.551,2399,14996
10-12-40.617,2405,14994
10-12-40.680,2404,14996
10-12-40.742,2401,14997
10-12-40.805,2388,14998
10-12-40.867,2385,14998
10-12-40.934,2379,14999
10-12-40.996,2378,14999
10-12-41.059,2379,14998
10-12-41.215,2378,14999
10-12-41.246,2383,14997
10-12-41.297,2388,14997
10-12-41.359,2388,14997
10-12-41.426,2385,14999
10-12-41.488,2382,14999
10-12-41.551,2384,14999
10-12-41.613,2386,14998
10-12-41.676,2378,14999
10-12-41.738,2374,15000
10-12-41.805,2366,15002
10-12-41.867,2361,15003
10-12-41.934,2359,15003
10-12-41.992,2353,15004
10-12-42.055,2352,15004
10-12-42.121,2351,15004
10-12-42.215,2351,15004
10-12-42.230,2349,15004
10-12-42.297,2350,15005
10-12-42.359,2355,15004
10-12-42.426,2358,15003
10-12-42.488,2353,15003
