mcu:,-10312,7444,-6212,-2871,1987,-8345
mcu:,-10400,7656,-9248,2080,-1702,11147
mcu:,6356,15392,-8796,-3061,8740,4412
mcu:,5052,14556,-8276,-643,459,534
mcu:,6812,14912,-9708,-3415,-6065,-7332
mcu:,-10212,7876,-8444,-2161,6385,-13083
mcu:,-3052,10740,-8448,-2069,5377,19411
mcu:,5016,16096,-6460,121,954,-1003
mcu:,3168,15720,-10800,2050,-5100,-10108
mcu:,-12444,5124,-7708,-1353,4301,-8144
mcu:,-1200,10200,-10192,-3342,9059,17384
mcu:,3720,16196,-7564,3797,1967,-627
mcu:,3876,11464,-7932,-1302,-5651,587
mcu:,-6560,10104,-8596,-475,-1985,-12860
mcu:,-11212,6492,-9552,3688,-457,10371
mcu:,4992,15284,-9784,-7766,11856,7830
mcu:,5136,15804,-6136,10332,-6832,2874
mcu:,-2524,12084,-8796,-1248,-6328,-14364
mcu:,-13036,5280,-8136,3993,220,7817
mcu:,5220,12304,-10640,-1822,5719,8751
mcu:,5880,15344,-9464,7213,-4666,4418
mcu:,-5284,11140,-9408,-899,-4534,-12551
mcu:,-11036,6252,-9372,4405,1835,10067
mcu:,9716,17332,-10580,-8407,7541,95
mcu:,7232,12448,-9596,4473,-1966,3258
mcu:,-4280,11196,-9992,-1144,-5012,-14828
mcu:,-9492,6700,-8760,2850,2825,12984
mcu:,5444,18000,-10444,-117,1149,386
mcu:,1528,13676,-10216,-1418,-6001,-12685
mcu:,-14296,3016,-8452,1883,995,-3235
mcu:,3816,10128,-12364,-3486,10886,17802
mcu:,5324,14884,-9428,1766,-763,1007
mcu:,-2704,11600,-9792,90,-5726,-14553
mcu:,-12228,4380,-9520,2924,-390,9524
mcu:,5932,13604,-8004,-9784,13606,-618
mcu:,10000,13988,-10740,-2511,-8588,-9411
mcu:,-10232,6744,-9440,-3573,1310,-10613
mcu:,-7592,7688,-9684,981,3354,14719
mcu:,6444,21768,-6920,3347,8682,16570
mcu:,7144,12668,-10944,1027,-8703,-5637
mcu:,-8092,8408,-10152,-2429,-1966,-10058
mcu:,-8688,6768,-10280,374,4055,11875
mcu:,5824,16600,-11356,-5284,7584,-1799
mcu:,1904,13104,-10620,2728,-4181,-8051
mcu:,-9928,6376,-7576,-2580,432,-8438
mcu:,-4848,9232,-11004,-1726,6954,13378
mcu:,4820,22000,-2940,3520,5592,9746
mcu:,2572,10900,-10880,433,-8435,-10844
mcu:,-10808,6180,-9620,-2430,-1854,-9336
mcu:,-7152,7168,-10756,621,4409,13329
mcu:,6252,16028,-10116,-79,3587,-3098
mcu:,232,10652,-11180,-488,-6540,-13465
mcu:,-12708,5092,-10560,-146,3647,-6396
mcu:,-3844,9492,-10800,-2559,6640,14343
mcu:,5948,17444,-8952,1893,3945,4664
mcu:,340,12156,-11288,1889,-7405,-11724
mcu:,-11884,4588,-10400,-332,1890,-1908
mcu:,-3812,9144,-10744,-2951,7606,12792
mcu:,7376,16192,-7804,1402,1720,2066
mcu:,-888,10372,-10224,949,-11902,-15610
mcu:,-13040,4132,-10368,1458,1061,787
mcu:,-1704,10888,-11680,-834,6852,12448
mcu:,10508,11608,-9072,-2265,10363,513
mcu:,2436,12056,-11068,-871,-9861,-13603
mcu:,-12252,5040,-9028,-1236,1232,-2374
mcu:,0,11040,-12720,-2771,12969,12692
mcu:,8084,16120,-11220,8554,-6100,3680
mcu:,-4780,9932,-9712,-259,-5488,-13073
mcu:,-11236,4896,-9592,1297,1707,8374
mcu:,5008,13036,-12728,-7398,7411,5156
mcu:,1320,14924,-9068,3444,-7927,909
mcu:,-8252,9048,-9556,-1448,-1505,-10627
mcu:,-9184,7356,-9820,1188,3136,9977
mcu:,4344,14652,-11304,-11590,8135,-77
mcu:,10684,11784,-10564,678,-11654,-676
mcu:,-11792,6936,-11256,-934,50,-10368
mcu:,-8440,7704,-10884,-499,3359,10248
mcu:,6896,15016,-10416,-8116,10210,-2989
mcu:,3336,14608,-13744,3748,-6534,-1020
mcu:,-9408,7200,-9856,-2053,2184,-10207
mcu:,-8204,7740,-10448,-633,4519,10546
mcu:,6504,15388,-10212,-5046,5665,-1907
mcu:,7116,13552,-12172,1852,-7675,1829
mcu:,-8236,6800,-11756,32,-998,-11656
mcu:,-8952,7036,-10064,1484,3623,9669
mcu:,4876,13104,-10876,-3669,8586,-827
mcu:,6300,14848,-11264,-323,-8465,1612
mcu:,-10228,8704,-9208,-1566,-503,-10817
mcu:,-9120,6992,-10128,3234,3221,9677
mcu:,6136,11932,-11048,-7506,11269,-2695
mcu:,5492,14848,-9664,3121,-2231,2898
mcu:,-3548,10244,-10088,-988,-5428,-13290
mcu:,-10976,5720,-9680,2235,1596,6253
mcu:,4884,14016,-12564,-9789,12480,3751
mcu:,7276,15520,-12664,1120,-7926,2074
mcu:,-7956,8460,-10472,-1271,-2759,-9504
mcu:,-10096,6740,-9948,945,2344,7542
mcu:,5216,13492,-12300,-4212,8648,7404
mcu:,4940,13900,-11952,3405,-3360,2543
mcu:,-3932,9520,-10552,757,-5913,-11514
mcu:,-11080,5908,-10452,1700,195,2138
mcu:,-2072,10672,-11176,-3785,5801,12921
mcu:,5060,15240,-8544,513,814,-299
mcu:,-1464,10836,-10380,692,-9859,-12900
mcu:,-12628,3836,-10436,894,1946,-629
mcu:,-1444,9388,-11148,-1746,7320,15421
mcu:,6476,13336,-9576,12048,-14790,6145
mcu:,2112,10680,-12036,-1555,-10519,-12036
mcu:,-11932,5512,-8944,124,267,-948
mcu:,-2124,10876,-10900,-1261,9826,12099
mcu:,7312,16752,-11640,1787,-134,1940
mcu:,-3732,10484,-10720,1123,-6333,-9261
mcu:,-11424,6172,-10044,290,1180,-146
mcu:,1072,10420,-11584,-2424,7567,15280
mcu:,5892,15104,-10736,5872,-2569,2580
